STATTE,,,,
,,,,,,,,,
,SO2,NO2,PM10,O3
03/07/2011 13.00,"2,72",,"13,20","95,13"
03/07/2011 14.00,"2,53",,"13,20","102,11"
03/07/2011 15.00,"2,41",,"13,20","110,19"
03/07/2011 16.00,"2,76",,"13,20","111,80"
03/07/2011 17.00,"2,63",,"13,20","112,30"
03/07/2011 18.00,"2,90",,"13,20","117,42"
03/07/2011 19.00,"2,77",,"13,20","114,35"
03/07/2011 20.00,"2,82",,"13,20","104,61"
03/07/2011 21.00,"2,52",,"13,20","89,17"
03/07/2011 22.00,"2,68",,"13,20","85,67"
03/07/2011 23.00,"2,59",,"13,20","80,48"
04/07/2011 0.00,"2,38",,"13,20","78,46"
04/07/2011 1.00,"2,62",,"20,40","79,21"
04/07/2011 2.00,"2,48",,"20,40","65,09"
04/07/2011 3.00,"2,65",,"20,40","66,73"
04/07/2011 4.00,"2,54",,"20,40","67,61"
04/07/2011 5.00,"2,66",,"20,40","54,48"
04/07/2011 6.00,"2,67",,"20,40","51,79"
04/07/2011 7.00,"2,61",,"20,40","67,07"
04/07/2011 8.00,"2,39",,"20,40","75,29"
04/07/2011 9.00,"2,47",,"20,40","73,20"
04/07/2011 10.00,"2,47",,"20,40","81,18"
04/07/2011 11.00,"2,51",,"20,40","91,96"
04/07/2011 12.00,"2,75","12,86","20,40","110,81"
04/07/2011 13.00,"2,68","6,12","20,40","108,84"
04/07/2011 14.00,"2,46","5,26","20,40","108,87"
04/07/2011 15.00,"2,59","4,24","20,40","105,69"
04/07/2011 16.00,"2,75","7,85","20,40","101,20"
04/07/2011 17.00,"2,69","27,92","20,40","84,86"
04/07/2011 18.00,"2,83","6,86","20,40","98,37"
04/07/2011 19.00,"2,85","17,51","20,40","76,23"
04/07/2011 20.00,"2,93","14,76","20,40","61,27"
04/07/2011 21.00,"2,77","10,02","20,40","62,30"
04/07/2011 22.00,"2,73","6,58","20,40","71,24"
04/07/2011 23.00,"2,64","4,68","20,40","73,00"
05/07/2011 0.00,"2,73","3,42","20,40","75,21"
05/07/2011 1.00,,"3,19","20,70","75,68"
05/07/2011 2.00,"2,75","3,22","20,70","73,44"
05/07/2011 3.00,"2,79","2,30","20,70","70,45"
05/07/2011 4.00,"2,53","2,39","20,70","63,76"
05/07/2011 5.00,"2,50","3,25","20,70","53,42"
05/07/2011 6.00,"2,59","6,19","20,70","45,59"
05/07/2011 7.00,"2,60","11,27","20,70","44,03"
05/07/2011 8.00,"2,47","13,21","20,70","48,39"
05/07/2011 9.00,"2,59","9,14","20,70","64,52"
05/07/2011 10.00,"2,52","14,71","20,70","83,34"
05/07/2011 11.00,"2,48","6,02","20,70","90,78"
05/07/2011 12.00,"2,62","5,48","20,70","96,90"
05/07/2011 13.00,"2,53","5,55","20,70","103,32"
05/07/2011 14.00,"2,35","2,85","20,70","102,36"
05/07/2011 15.00,"2,41","2,69","20,70","113,03"
05/07/2011 16.00,"2,40","3,27","20,70","105,15"
05/07/2011 17.00,"2,49","4,46","20,70","89,03"
05/07/2011 18.00,"2,53","4,53","20,70","77,62"
05/07/2011 19.00,"2,76","16,58","20,70","78,05"
05/07/2011 20.00,"2,60","28,23","20,70","68,49"
05/07/2011 21.00,"2,51","10,50","20,70","76,32"
05/07/2011 22.00,"2,43","11,78","20,70","68,64"
05/07/2011 23.00,"2,54","9,66","20,70","67,97"
06/07/2011 0.00,"2,55","6,99","20,70","74,02"
06/07/2011 1.00,"2,36","3,85","13,30","72,81"
06/07/2011 2.00,"2,43","3,35","13,30","68,49"
06/07/2011 3.00,"2,42","2,79","13,30","61,82"
06/07/2011 4.00,"2,42","3,49","13,30","57,77"
06/07/2011 5.00,"2,39","4,45","13,30","56,18"
06/07/2011 6.00,"2,37","5,85","13,30","61,28"
06/07/2011 7.00,"2,40","4,45","13,30","83,14"
06/07/2011 8.00,"2,47","3,63","13,30","89,35"
06/07/2011 9.00,"2,47","4,49","13,30","94,81"
06/07/2011 10.00,"2,65","3,71","13,30","96,50"
06/07/2011 11.00,"2,60","5,47","13,30","91,64"
06/07/2011 12.00,"2,52","3,66","13,30","103,01"
06/07/2011 13.00,"2,66","2,87","13,30","104,60"
06/07/2011 14.00,"2,50","2,75","13,30","105,27"
06/07/2011 15.00,"2,62","2,68","13,30","102,33"
06/07/2011 16.00,"2,48","2,89","13,30","104,30"
06/07/2011 17.00,"2,74","3,08","13,30","103,52"
06/07/2011 18.00,"2,67","3,20","13,30","100,99"
06/07/2011 19.00,"2,59","5,70","13,30","108,71"
06/07/2011 20.00,"2,67","8,61","13,30","97,79"
06/07/2011 21.00,"2,60","6,17","13,30","86,36"
06/07/2011 22.00,"2,71","3,23","13,30","81,12"
06/07/2011 23.00,"2,58","7,33","13,30","74,16"
07/07/2011 0.00,"2,66","9,18","13,30","71,28"
07/07/2011 1.00,,"6,12","17,50","75,00"
07/07/2011 2.00,"2,51",,"17,50","85,72"
07/07/2011 3.00,"2,50","2,66","17,50","89,40"
07/07/2011 4.00,"2,54","2,41","17,50","94,72"
07/07/2011 5.00,"2,67","5,79","17,50","91,16"
07/07/2011 6.00,"2,62","5,73","17,50","80,33"
07/07/2011 7.00,"2,63","9,86","17,50","65,93"
07/07/2011 8.00,"2,57","9,52","17,50","59,89"
07/07/2011 9.00,"2,69","22,49","17,50","72,88"
07/07/2011 10.00,"2,85","52,54","17,50","72,10"
07/07/2011 11.00,"2,97","29,16","17,50","92,39"
07/07/2011 12.00,"3,27","22,43","17,50","110,75"
07/07/2011 13.00,"3,26","21,34","17,50","111,32"
07/07/2011 14.00,"3,24","13,66","17,50","119,30"
07/07/2011 15.00,"3,52","18,19","17,50","117,89"
07/07/2011 16.00,"3,58","17,28","17,50","122,74"
07/07/2011 17.00,"3,60","23,44","17,50","107,01"
07/07/2011 18.00,"3,50","9,68","17,50","109,20"
07/07/2011 19.00,"3,36","5,37","17,50","110,20"
07/07/2011 20.00,"3,36","7,03","17,50","94,55"
07/07/2011 21.00,"2,97","10,88","17,50","98,61"
07/07/2011 22.00,"2,91","11,48","17,50","89,54"
07/07/2011 23.00,"2,88","8,58","17,50","99,07"
08/07/2011 0.00,"2,70","5,78","17,50","102,67"
08/07/2011 1.00,"2,78","4,05","14,30","104,96"
08/07/2011 2.00,"2,83","2,62","14,30","103,04"
08/07/2011 3.00,"2,79","4,05","14,30","91,54"
08/07/2011 4.00,"2,95","6,52","14,30","85,86"
08/07/2011 5.00,"2,69","5,57","14,30","88,09"
08/07/2011 6.00,"2,78","17,35","14,30","71,71"
08/07/2011 7.00,"2,85","15,37","14,30","64,22"
08/07/2011 8.00,"2,68","8,39","14,30","73,99"
08/07/2011 9.00,"14,35","8,06","14,30",
08/07/2011 10.00,"17,85","9,79","14,30",
08/07/2011 11.00,"6,37","36,34","14,30",
08/07/2011 12.00,"3,81","16,02","14,30","108,56"
08/07/2011 13.00,"3,49","6,74","14,30","121,05"
08/07/2011 14.00,"3,30","6,35","14,30","130,66"
08/07/2011 15.00,"3,38","5,40","14,30","127,58"
08/07/2011 16.00,"3,46","4,67","14,30","122,62"
08/07/2011 17.00,"3,20","6,28","14,30","124,68"
08/07/2011 18.00,"3,33","7,61","14,30","114,41"
08/07/2011 19.00,"3,30","3,57","14,30","108,30"
08/07/2011 20.00,"3,17","5,84","14,30","96,32"
08/07/2011 21.00,"3,09","11,52","14,30","96,70"
08/07/2011 22.00,"3,04","13,57","14,30","73,13"
08/07/2011 23.00,"3,24","12,30","14,30","72,37"
09/07/2011 0.00,"3,40","8,98","14,30","88,63"
09/07/2011 1.00,,"11,50","15,30","80,32"
09/07/2011 2.00,"3,19",,"15,30","93,55"
09/07/2011 3.00,"3,27","4,76","15,30","100,24"
09/07/2011 4.00,"3,31","4,76","15,30","95,54"
09/07/2011 5.00,"3,21","5,92","15,30","96,08"
09/07/2011 6.00,"3,20","12,00","15,30","91,56"
09/07/2011 7.00,"3,32","16,07","15,30","82,51"
09/07/2011 8.00,"3,35","7,56","15,30","69,50"
09/07/2011 9.00,"3,23","13,51","15,30","95,40"
09/07/2011 10.00,"4,25","22,74","15,30","101,38"
09/07/2011 11.00,"6,66","23,13","15,30","109,05"
09/07/2011 12.00,"4,77","4,97","15,30","123,72"
09/07/2011 13.00,"4,02","3,16","15,30","123,91"
09/07/2011 14.00,"3,81","2,90","15,30","116,97"
09/07/2011 15.00,"3,38","2,47","15,30","105,56"
09/07/2011 16.00,"3,42","6,40","15,30","105,08"
09/07/2011 17.00,"4,48","16,82","15,30","102,41"
09/07/2011 18.00,"4,42","15,52","15,30","97,96"
09/07/2011 19.00,"3,76","5,42","15,30","99,36"
09/07/2011 20.00,"3,42","5,34","15,30","96,38"
09/07/2011 21.00,"3,50","7,02","15,30","95,05"
09/07/2011 22.00,"3,32","13,11","15,30","82,90"
09/07/2011 23.00,"2,98","11,18","15,30","79,91"
10/07/2011 0.00,"3,07","7,82","15,30","94,98"
10/07/2011 1.00,"2,95","9,36","18,10","77,73"
10/07/2011 2.00,"2,87","8,00","18,10","83,57"
10/07/2011 3.00,"3,04","7,86","18,10","88,06"
10/07/2011 4.00,"2,93","5,57","18,10","91,31"
10/07/2011 5.00,"2,98","3,65","18,10","94,11"
10/07/2011 6.00,"3,01","5,64","18,10","94,02"
10/07/2011 7.00,"3,22","12,72","18,10","73,85"
10/07/2011 8.00,"3,35","9,38","18,10","62,31"
10/07/2011 9.00,"19,09","33,64","18,10","149,67"
10/07/2011 10.00,"12,29","35,52","18,10","120,67"
10/07/2011 11.00,"14,70","34,21","18,10","98,05"
10/07/2011 12.00,"10,91","13,43","18,10","114,82"
10/07/2011 13.00,"4,67","2,41","18,10","113,15"
10/07/2011 14.00,"3,72","2,58","18,10","114,98"
10/07/2011 15.00,"3,71","4,16","18,10","116,60"
10/07/2011 16.00,"3,69","3,37","18,10","108,02"
10/07/2011 17.00,"3,67","2,70","18,10","100,79"
10/07/2011 18.00,"3,61","5,87","18,10","103,74"
10/07/2011 19.00,"3,51","4,91","18,10","98,58"
10/07/2011 20.00,"3,58","5,88","18,10","77,75"
10/07/2011 21.00,"3,52","12,18","18,10","81,41"
10/07/2011 22.00,"3,44","20,99","18,10","59,61"
10/07/2011 23.00,"3,27","17,07","18,10","60,76"
11/07/2011 0.00,"3,06","15,55","18,10","64,24"
11/07/2011 1.00,,"10,06","25,70","69,64"
11/07/2011 2.00,"2,97",,"25,70","83,07"
11/07/2011 3.00,"3,17","3,62","25,70","88,35"
11/07/2011 4.00,"2,88","3,51","25,70","90,70"
11/07/2011 5.00,"2,93","3,59","25,70","104,46"
11/07/2011 6.00,"3,07","4,07","25,70","104,04"
11/07/2011 7.00,"3,27","5,95","25,70","108,28"
11/07/2011 8.00,"3,28","5,61","25,70","101,35"
11/07/2011 9.00,"4,36","28,83","25,70","105,58"
11/07/2011 10.00,"4,74","50,59","25,70",
11/07/2011 11.00,"6,02","26,22","25,70","138,55"
11/07/2011 12.00,"4,75","16,99","25,70","146,95"
11/07/2011 13.00,"3,94","10,38","25,70","145,29"
11/07/2011 14.00,"3,64","7,89","25,70","141,59"
11/07/2011 15.00,"3,59","9,38","25,70","137,16"
11/07/2011 16.00,"3,75","7,55","25,70","128,37"
11/07/2011 17.00,"3,34","9,95","25,70","122,15"
11/07/2011 18.00,"3,31","4,52","25,70","105,63"
11/07/2011 19.00,"3,30","5,57","25,70","100,97"
11/07/2011 20.00,"3,28","7,19","25,70","83,17"
11/07/2011 21.00,"3,27","26,09","25,70","77,65"
11/07/2011 22.00,"3,16","16,22","25,70","70,89"
11/07/2011 23.00,"3,17","15,73","25,70","76,58"
12/07/2011 0.00,"3,08","8,51","25,70","98,88"
12/07/2011 1.00,"3,08","4,47","19,20","110,05"
12/07/2011 2.00,"2,74","3,03","19,20","109,29"
12/07/2011 3.00,"2,90","2,56","19,20","110,98"
12/07/2011 4.00,"2,88","2,82","19,20","105,91"
12/07/2011 5.00,"2,98","3,89","19,20","102,78"
12/07/2011 6.00,"3,07","4,75","19,20","107,92"
12/07/2011 7.00,"3,10","3,91","19,20","91,31"
12/07/2011 8.00,"3,26","3,49","19,20","79,71"
12/07/2011 9.00,"3,21","4,75","19,20","99,49"
12/07/2011 10.00,"3,26","3,82","19,20","104,67"
12/07/2011 11.00,"3,12","3,23","19,20","98,89"
12/07/2011 12.00,"3,35","8,41","19,20","112,07"
12/07/2011 13.00,"3,27","5,33","19,20","128,25"
12/07/2011 14.00,"3,20","4,22","19,20","117,58"
12/07/2011 15.00,"3,40","5,81","19,20","120,46"
12/07/2011 16.00,"3,38","5,14","19,20","121,29"
12/07/2011 17.00,"3,25","3,57","19,20","99,27"
12/07/2011 18.00,"3,18","5,07","19,20","107,51"
12/07/2011 19.00,"3,29","6,90","19,20","106,52"
12/07/2011 20.00,"3,16","9,85","19,20","91,37"
12/07/2011 21.00,"3,05","8,73","19,20","91,38"
12/07/2011 22.00,"3,10","5,17","19,20","97,25"
12/07/2011 23.00,"3,07","4,50","19,20","100,31"
13/07/2011 0.00,"3,10","3,20","19,20","103,95"
13/07/2011 1.00,,"6,85","34,10","91,52"
13/07/2011 2.00,"3,19",,"34,10","81,71"
13/07/2011 3.00,"2,96","4,28","34,10","98,84"
13/07/2011 4.00,"3,03","3,86","34,10","97,77"
13/07/2011 5.00,"3,01","3,15","34,10","104,45"
13/07/2011 6.00,"2,94","8,89","34,10","94,54"
13/07/2011 7.00,"2,99","9,62","34,10","82,88"
13/07/2011 8.00,"3,12","16,01","34,10","60,51"
13/07/2011 9.00,"3,75","20,63","34,10","88,03"
13/07/2011 10.00,"3,77","21,85","34,10",
13/07/2011 11.00,"3,90","36,10","34,10","111,76"
13/07/2011 12.00,"5,45","22,85","34,10","132,08"
13/07/2011 13.00,"4,80","13,24","34,10","142,96"
13/07/2011 14.00,"4,96","15,76","34,10","137,79"
13/07/2011 15.00,"6,43","18,43","34,10","151,23"
13/07/2011 16.00,"6,65","22,54","34,10","140,00"
13/07/2011 17.00,"5,47","23,39","34,10","126,36"
13/07/2011 18.00,"4,63","27,31","34,10","109,85"
13/07/2011 19.00,"4,01","19,56","34,10","109,95"
13/07/2011 20.00,"3,62","11,69","34,10","100,86"
13/07/2011 21.00,"3,30","10,91","34,10","98,34"
13/07/2011 22.00,"3,24","12,72","34,10","95,30"
13/07/2011 23.00,"3,15","18,80","34,10","89,20"
14/07/2011 0.00,"3,04","15,34","34,10","82,61"
14/07/2011 1.00,"3,11","11,09","38,60","88,56"
14/07/2011 2.00,"3,11","7,62","38,60","87,67"
14/07/2011 3.00,"2,73","6,19","38,60","90,05"
14/07/2011 4.00,"2,90","4,93","38,60","85,85"
14/07/2011 5.00,"2,88","5,47","38,60","86,97"
14/07/2011 6.00,"2,94","16,03","38,60","76,23"
14/07/2011 7.00,"2,84","9,64","38,60","95,07"
14/07/2011 8.00,"3,01","9,55","38,60","92,77"
14/07/2011 9.00,"2,97","43,20","38,60","68,61"
14/07/2011 10.00,"2,96","32,44","38,60","92,25"
14/07/2011 11.00,"3,03","12,62","38,60","106,16"
14/07/2011 12.00,"3,50","17,05","38,60","116,90"
14/07/2011 13.00,"3,59","20,53","38,60","116,93"
14/07/2011 14.00,"3,91","18,62","38,60","120,41"
14/07/2011 15.00,"4,68","29,49","38,60","100,91"
14/07/2011 16.00,"5,74","40,62","38,60","82,52"
14/07/2011 17.00,"7,36","35,50","38,60","86,84"
14/07/2011 18.00,"6,58","11,81","38,60","107,98"
14/07/2011 19.00,"4,64","17,31","38,60","108,18"
14/07/2011 20.00,"3,66","15,92","38,60","96,18"
14/07/2011 21.00,"3,45","13,82","38,60","94,77"
14/07/2011 22.00,"3,07","8,33","38,60","101,76"
14/07/2011 23.00,"2,92","8,27","38,60","98,82"
15/07/2011 0.00,"3,04","7,75","38,60","96,94"
15/07/2011 1.00,,"13,88","42,80","71,41"
15/07/2011 2.00,"2,85",,"42,80","71,11"
15/07/2011 3.00,"2,88",,"42,80","74,28"
15/07/2011 4.00,"2,91",,"42,80","71,34"
15/07/2011 5.00,"2,98",,"42,80","70,36"
15/07/2011 6.00,"2,82",,"42,80","69,46"
15/07/2011 7.00,"2,82",,"42,80","60,32"
15/07/2011 8.00,"2,76",,"42,80","59,39"
15/07/2011 9.00,"2,76",,"42,80","80,56"
15/07/2011 10.00,"2,75",,"42,80","99,02"
15/07/2011 11.00,"2,91",,"42,80","116,35"
15/07/2011 12.00,"2,78",,"42,80","124,31"
15/07/2011 13.00,"2,79",,"42,80","128,08"
15/07/2011 14.00,"3,05",,"42,80","134,46"
15/07/2011 15.00,"3,28",,"42,80","137,36"
15/07/2011 16.00,"3,61",,"42,80","124,59"
15/07/2011 17.00,"3,73",,"42,80","117,25"
15/07/2011 18.00,"4,04",,"42,80","115,02"
15/07/2011 19.00,"4,15",,"42,80","108,68"
15/07/2011 20.00,"3,40",,"42,80","98,09"
15/07/2011 21.00,"3,27",,"42,80","96,58"
15/07/2011 22.00,"3,29",,"42,80","96,49"
15/07/2011 23.00,"2,90",,"42,80","88,44"
16/07/2011 0.00,"2,87",,"42,80","92,98"
16/07/2011 1.00,"2,83",,"14,40","102,12"
16/07/2011 2.00,"2,90",,"14,40","101,94"
16/07/2011 3.00,"2,73",,"14,40","103,79"
16/07/2011 4.00,"3,03",,"14,40","94,40"
16/07/2011 5.00,"2,84",,"14,40","92,70"
16/07/2011 6.00,"3,03",,"14,40","94,22"
16/07/2011 7.00,"3,05",,"14,40","73,92"
16/07/2011 8.00,"3,17",,"14,40","75,72"
16/07/2011 9.00,"2,99",,"14,40","97,97"
16/07/2011 10.00,"3,35",,"14,40","102,82"
16/07/2011 11.00,"3,34",,"14,40","107,22"
16/07/2011 12.00,"3,19",,"14,40","112,41"
16/07/2011 13.00,"3,27",,"14,40","110,75"
16/07/2011 14.00,"3,26",,"14,40","121,50"
16/07/2011 15.00,"3,48",,"14,40","119,96"
16/07/2011 16.00,"3,46",,"14,40","119,93"
16/07/2011 17.00,"3,44",,"14,40","120,59"
16/07/2011 18.00,"3,58",,"14,40","120,30"
16/07/2011 19.00,"3,39",,"14,40","109,04"
16/07/2011 20.00,"3,46",,"14,40","87,45"
16/07/2011 21.00,"3,27",,"14,40","91,65"
16/07/2011 22.00,"3,41",,"14,40","99,66"
16/07/2011 23.00,"3,36",,"14,40","102,44"
17/07/2011 0.00,"3,43",,"14,40","101,97"
17/07/2011 1.00,,,"20,30","89,10"
17/07/2011 2.00,"2,94",,"20,30","92,18"
17/07/2011 3.00,"3,37","4,42","20,30","91,89"
17/07/2011 4.00,"3,05","2,35","20,30","92,01"
17/07/2011 5.00,"3,06","2,40","20,30","86,75"
17/07/2011 6.00,"2,99","2,16","20,30","81,77"
17/07/2011 7.00,"2,87","2,02","20,30","72,28"
17/07/2011 8.00,"2,98","3,53","20,30","74,52"
17/07/2011 9.00,"3,09","2,71","20,30","84,87"
17/07/2011 10.00,"3,14","2,35","20,30","97,82"
17/07/2011 11.00,"3,04","4,21","20,30","104,01"
17/07/2011 12.00,"3,19","6,16","20,30","113,23"
17/07/2011 13.00,"3,19","6,15","20,30","123,45"
17/07/2011 14.00,"4,44","17,79","20,30","116,21"
17/07/2011 15.00,"7,50","22,33","20,30","110,50"
17/07/2011 16.00,"17,50","15,45","20,30",
17/07/2011 17.00,"5,07","10,59","20,30","125,08"
17/07/2011 18.00,"4,21","6,03","20,30","126,38"
17/07/2011 19.00,"3,63","8,20","20,30","111,53"
17/07/2011 20.00,"3,40","6,66","20,30","99,17"
17/07/2011 21.00,"3,27","11,93","20,30","88,20"
17/07/2011 22.00,"3,23","9,29","20,30","86,32"
17/07/2011 23.00,"2,93","7,36","20,30","94,43"
18/07/2011 0.00,"3,23","6,25","20,30","94,16"
18/07/2011 1.00,"3,05","5,07","31,80","93,72"
18/07/2011 2.00,"3,02","7,47","31,80","79,90"
18/07/2011 3.00,"3,08","6,62","31,80","78,13"
18/07/2011 4.00,"3,00","7,10","31,80","79,58"
18/07/2011 5.00,"3,12","13,63","31,80","67,41"
18/07/2011 6.00,"3,05","21,85","31,80","52,81"
18/07/2011 7.00,"3,04","25,81","31,80","49,68"
18/07/2011 8.00,"3,45","31,75","31,80","55,11"
18/07/2011 9.00,"3,67","31,19","31,80","76,72"
18/07/2011 10.00,"3,98","8,16","31,80","99,53"
18/07/2011 11.00,"3,63","6,94","31,80","103,00"
18/07/2011 12.00,"4,68","31,46","31,80","86,43"
18/07/2011 13.00,"7,83","25,40","31,80","93,17"
18/07/2011 14.00,"5,93","13,41","31,80","104,86"
18/07/2011 15.00,"5,26","9,68","31,80","105,18"
18/07/2011 16.00,"5,08","13,05","31,80","101,21"
18/07/2011 17.00,"5,60","22,44","31,80","89,90"
18/07/2011 18.00,"5,38","21,95","31,80","83,89"
18/07/2011 19.00,"4,16","22,06","31,80","72,80"
18/07/2011 20.00,"3,57","10,58","31,80","70,27"
18/07/2011 21.00,"3,57","11,49","31,80","58,43"
18/07/2011 22.00,"3,40","13,68","31,80","50,80"
18/07/2011 23.00,"3,66","15,82","31,80","44,69"
19/07/2011 0.00,"3,54","16,33","31,80","47,76"
19/07/2011 1.00,,"17,55","30,70","44,21"
19/07/2011 2.00,"3,38",,"30,70","37,44"
19/07/2011 3.00,"3,42","13,59","30,70","50,99"
19/07/2011 4.00,"3,35","10,03","30,70","54,41"
19/07/2011 5.00,"3,37","12,06","30,70","53,12"
19/07/2011 6.00,"3,21","18,37","30,70","43,72"
19/07/2011 7.00,"3,36","20,70","30,70","41,76"
19/07/2011 8.00,"3,22","15,68","30,70","61,93"
19/07/2011 9.00,"3,36","19,74","30,70","74,28"
19/07/2011 10.00,"3,65","21,16","30,70","81,35"
19/07/2011 11.00,"4,11","11,58","30,70","86,90"
19/07/2011 12.00,"4,48","19,44","30,70","101,60"
19/07/2011 13.00,"5,28","36,31","30,70","73,73"
19/07/2011 14.00,"6,27","39,24","30,70","66,57"
19/07/2011 15.00,"5,54","5,98","30,70","94,34"
19/07/2011 16.00,"4,58","4,79","30,70","92,43"
19/07/2011 17.00,"3,96","9,21","30,70","88,71"
19/07/2011 18.00,"3,71","34,51","30,70","67,28"
19/07/2011 19.00,"3,83","13,54","30,70","84,99"
19/07/2011 20.00,"3,70","8,94","30,70","60,01"
19/07/2011 21.00,"3,38","6,34","30,70","37,99"
19/07/2011 22.00,"3,58","4,11","30,70","27,84"
19/07/2011 23.00,"3,41","3,75","30,70","31,09"
20/07/2011 0.00,"3,36","7,19","30,70","25,22"
20/07/2011 1.00,"3,21","11,07","27,40","23,05"
20/07/2011 2.00,"3,39","7,00","27,40","34,80"
20/07/2011 3.00,"3,11","11,70","27,40","52,00"
20/07/2011 4.00,"3,20","7,20","27,40","62,67"
20/07/2011 5.00,"3,14","6,78","27,40","59,92"
20/07/2011 6.00,"3,08","10,70","27,40","51,43"
20/07/2011 7.00,"3,20","13,99","27,40","56,35"
20/07/2011 8.00,"3,12","5,21","27,40","77,89"
20/07/2011 9.00,"3,16","3,07","27,40","87,52"
20/07/2011 10.00,"3,31","5,03","27,40","89,58"
20/07/2011 11.00,"3,11","4,17","27,40","87,33"
20/07/2011 12.00,"3,17","3,31","27,40","91,66"
20/07/2011 13.00,"3,25","3,25","27,40","99,41"
20/07/2011 14.00,"3,16","4,02","27,40","99,83"
20/07/2011 15.00,"3,23","3,95","27,40","94,40"
20/07/2011 16.00,"3,17","2,82","27,40","91,22"
20/07/2011 17.00,"3,21","2,21","27,40","96,17"
20/07/2011 18.00,"3,33","3,75","27,40","100,96"
20/07/2011 19.00,"3,41","3,56","27,40","98,33"
20/07/2011 20.00,"3,52","4,43","27,40","87,05"
20/07/2011 21.00,"3,47","4,79","27,40","84,66"
20/07/2011 22.00,"3,50","4,90","27,40","71,10"
20/07/2011 23.00,"3,40","4,61","27,40","75,83"
21/07/2011 0.00,"3,43","3,46","27,40","73,64"
21/07/2011 1.00,,"3,58","15,70","74,89"
21/07/2011 2.00,"3,41",,"15,70","74,58"
21/07/2011 3.00,"3,60","2,32","15,70","73,83"
21/07/2011 4.00,"3,54","3,11","15,70","67,42"
21/07/2011 5.00,"3,55","4,23","15,70","63,50"
21/07/2011 6.00,"3,56","7,28","15,70","62,82"
21/07/2011 7.00,"3,41","4,99","15,70","61,59"
21/07/2011 8.00,"3,52","8,82","15,70","68,64"
21/07/2011 9.00,"3,57","6,30","15,70","75,57"
21/07/2011 10.00,"3,69","5,18","15,70","84,73"
21/07/2011 11.00,"3,59","4,85","15,70","94,02"
21/07/2011 12.00,"3,41","4,37","15,70","105,97"
21/07/2011 13.00,"3,42","3,47","15,70","109,75"
21/07/2011 14.00,"3,51","3,54","15,70","107,85"
21/07/2011 15.00,"3,68","3,35","15,70","105,36"
21/07/2011 16.00,"3,67","3,65","15,70","104,84"
21/07/2011 17.00,"3,70","2,60","15,70","102,73"
21/07/2011 18.00,"3,78","3,29","15,70","99,93"
21/07/2011 19.00,"3,76","4,56","15,70","90,52"
21/07/2011 20.00,"3,75","6,74","15,70","81,04"
21/07/2011 21.00,"3,72","5,01","15,70","75,97"
21/07/2011 22.00,"3,39","6,38","15,70","71,81"
21/07/2011 23.00,"3,46","4,03","15,70","74,21"
22/07/2011 0.00,"3,32","4,79","15,70","77,37"
22/07/2011 1.00,"3,52","3,62","19,60","77,98"
22/07/2011 2.00,"3,45","3,01","19,60","76,72"
22/07/2011 3.00,"3,67","3,60","19,60","74,94"
22/07/2011 4.00,"3,61","4,18","19,60","70,84"
22/07/2011 5.00,"3,65","3,70","19,60","67,80"
22/07/2011 6.00,"3,63","3,50","19,60","61,53"
22/07/2011 7.00,"3,76","9,89","19,60","49,45"
22/07/2011 8.00,"3,51","7,76","19,60","62,09"
22/07/2011 9.00,"3,45","8,10","19,60","66,85"
22/07/2011 10.00,"3,57","6,10","19,60","78,66"
22/07/2011 11.00,"3,69","8,08","19,60","86,60"
22/07/2011 12.00,"3,82","6,58","19,60","97,59"
22/07/2011 13.00,"3,62","5,27","19,60","98,19"
22/07/2011 14.00,"3,47","4,28","19,60","94,56"
22/07/2011 15.00,"3,43","4,16","19,60","98,88"
22/07/2011 16.00,"3,31","17,64","19,60","83,30"
22/07/2011 17.00,"3,64","26,22","19,60","72,21"
22/07/2011 18.00,"3,71","17,44","19,60","78,01"
22/07/2011 19.00,"3,67","6,61","19,60","90,15"
22/07/2011 20.00,"3,41","8,29","19,60","81,08"
22/07/2011 21.00,"3,55","6,88","19,60","71,92"
22/07/2011 22.00,"3,42","5,69","19,60","67,39"
22/07/2011 23.00,"3,50","5,03","19,60","63,18"
23/07/2011 0.00,"3,42","3,61","19,60","60,15"
23/07/2011 1.00,,"3,34","20,90","57,72"
23/07/2011 2.00,"3,28",,"20,90",
23/07/2011 3.00,"3,14","2,12","20,90","53,95"
23/07/2011 4.00,"3,09","2,54","20,90","49,07"
23/07/2011 5.00,"3,09","3,19","20,90","46,78"
23/07/2011 6.00,"3,14","5,45","20,90","41,62"
23/07/2011 7.00,"3,26","6,71","20,90","45,36"
23/07/2011 8.00,"3,22","10,15","20,90","36,95"
23/07/2011 9.00,"3,16","10,00","20,90","37,57"
23/07/2011 10.00,"2,66","10,99","20,90","48,44"
23/07/2011 11.00,"2,95","8,21","20,90","71,55"
23/07/2011 12.00,"3,04","10,54","20,90","82,29"
23/07/2011 13.00,"2,90","15,45","20,90","86,77"
23/07/2011 14.00,"3,17","10,87","20,90","77,63"
23/07/2011 15.00,"3,01","10,81","20,90","89,27"
23/07/2011 16.00,"3,20","7,96","20,90","73,23"
23/07/2011 17.00,"3,20","3,07","20,90","62,83"
23/07/2011 18.00,"3,19","4,77","20,90","68,32"
23/07/2011 19.00,"3,24","8,66","20,90","69,76"
23/07/2011 20.00,"3,02","12,26","20,90","55,05"
23/07/2011 21.00,"2,92","9,55","20,90","43,80"
