Stat,TA-Talsano,,,,,
Parm,SO2,NOX,NO2,PM10,O3,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K,ng/m3
16/01/2014 12.00,"4,7","27,6","20,0","28,5","48,2","3,8"
16/01/2014 13.00,"4,4","22,0","16,5","28,5","54,7","3,7"
16/01/2014 14.00,"4,5","18,1","13,5","28,5","67,9","3,4"
16/01/2014 15.00,"3,0","16,4","12,6","28,5","74,0","2,7"
16/01/2014 16.00,"2,6","21,0","15,8","28,5","73,1","4,7"
16/01/2014 17.00,"2,6","20,8","17,6","28,5","65,4","5,4"
16/01/2014 18.00,"2,6","36,9","33,2","28,5","46,7","14,1"
16/01/2014 19.00,"2,7","61,8","54,1","28,5","17,5","62,5"
16/01/2014 20.00,"2,6","43,6","38,8","28,5","30,9","38,3"
16/01/2014 21.00,"2,6","48,9","42,1","28,5","19,8","38,0"
16/01/2014 22.00,"2,9","45,0","40,4","28,5","15,9","28,7"
16/01/2014 23.00,"2,6","42,6","38,4","28,5","12,8","24,3"
17/01/2014 0.00,"2,4","35,6","31,5","28,5","7,6","18,0"
17/01/2014 1.00,"2,6","29,7","26,4","26,8","10,5","13,9"
17/01/2014 2.00,"2,0","25,6","22,2","26,8","14,5","11,3"
17/01/2014 3.00,"1,8","19,8","16,2","26,8","38,7","5,6"
17/01/2014 4.00,"1,9","19,8","16,2","26,8","35,4","4,0"
17/01/2014 5.00,"1,7","14,6","11,5","26,8","32,7","3,1"
17/01/2014 6.00,"1,8","15,0","11,9","26,8","26,5","3,3"
17/01/2014 7.00,"2,1","15,7","12,6","26,8","25,6","3,6"
17/01/2014 8.00,"2,7","42,1","27,5","26,8","12,8","19,5"
17/01/2014 9.00,"3,5","75,0","44,7","26,8","26,0","32,7"
17/01/2014 10.00,"2,5","23,1","18,3","26,8","59,9","6,0"
17/01/2014 11.00,"2,6","19,1","14,5","26,8","67,4","5,0"
17/01/2014 12.00,"3,3","20,1","15,2","26,8","72,2","4,5"
17/01/2014 13.00,"2,8","18,3","13,6","26,8","78,7","4,9"
17/01/2014 14.00,"2,6","19,2","14,2","26,8","80,2","5,4"
17/01/2014 15.00,"2,6","17,0","12,7","26,8","83,4","5,6"
17/01/2014 16.00,"2,6","15,3","12,0","26,8","84,0","5,2"
17/01/2014 17.00,"2,6","16,7","12,9","26,8","83,7","7,1"
17/01/2014 18.00,"2,6","20,4","16,0","26,8","79,4","10,4"
17/01/2014 19.00,"2,6","21,4","16,8","26,8","79,3","8,9"
17/01/2014 20.00,"2,6","21,3","17,1","26,8","80,5","9,4"
17/01/2014 21.00,"2,6","20,1","15,9","26,8","80,3","7,7"
17/01/2014 22.00,"2,6","18,6","14,9","26,8","79,4","6,9"
17/01/2014 23.00,"2,6","16,3","12,9","26,8","81,9","4,4"
18/01/2014 0.00,"2,6","14,1","10,9","26,8","82,0","3,2"
18/01/2014 1.00,,"13,1","10,0","23,3","82,1","2,1"
18/01/2014 2.00,"2,2",,,"23,3","81,1","1,8"
18/01/2014 3.00,"2,4","13,1","9,9","23,3",,"1,4"
18/01/2014 4.00,"2,5","13,1","9,9","23,3","82,3","1,5"
18/01/2014 5.00,"2,4","13,0","9,9","23,3","83,1","1,3"
18/01/2014 6.00,"2,6","13,1","9,9","23,3","78,6","1,5"
18/01/2014 7.00,"2,4","14,2","11,1","23,3","74,4","2,3"
18/01/2014 8.00,"2,6","17,6","14,5","23,3","73,1","3,5"
18/01/2014 9.00,"2,6","23,6","17,8","23,3","76,5","7,2"
18/01/2014 10.00,"2,6","18,8","15,3","23,3","76,9","4,8"
18/01/2014 11.00,"2,6","17,8","14,2","23,3","77,4","4,5"
18/01/2014 12.00,"2,6","17,8","14,1","23,3","75,0","5,2"
18/01/2014 13.00,"2,6","23,0","16,5","23,3","77,9","5,6"
18/01/2014 14.00,"2,6","19,0","14,9","23,3","78,2","7,1"
18/01/2014 15.00,"2,6","14,9","11,4","23,3","80,2","4,4"
18/01/2014 16.00,"2,6","14,4","11,2","23,3","78,7","4,8"
18/01/2014 17.00,"2,6","14,2","10,9","23,3","77,8","5,2"
18/01/2014 18.00,"2,6","15,3","11,9","23,3","77,3","6,6"
18/01/2014 19.00,"2,6","15,9","12,2","23,3","74,8","7,1"
18/01/2014 20.00,"2,6","15,8","12,3","23,3","75,4","8,1"
18/01/2014 21.00,"2,6","15,6","12,3","23,3","74,8","7,9"
18/01/2014 22.00,"2,6","14,3","10,9","23,3","74,9","5,5"
18/01/2014 23.00,"2,6","13,1","9,8","23,3","75,1","4,5"
19/01/2014 0.00,"2,6","12,2","8,9","23,3","74,7","3,8"
19/01/2014 1.00,"2,6","12,4","8,9","34,2","74,8","3,3"
19/01/2014 2.00,"2,6","11,5","8,4","34,2","76,1","2,7"
19/01/2014 3.00,"2,5","10,7","7,5","34,2","76,8","2,3"
19/01/2014 4.00,"2,6","10,9","7,6","34,2","75,1","1,9"
19/01/2014 5.00,"2,6","10,6","7,3","34,2","75,4","1,4"
19/01/2014 6.00,"2,6","10,0","6,9","34,2","78,3","1,5"
19/01/2014 7.00,"2,6","10,2","7,0","34,2","78,2","1,6"
19/01/2014 8.00,"2,6","10,5","7,4","34,2","78,7","1,7"
19/01/2014 9.00,"2,6","11,6","8,0","34,2","78,7","2,1"
19/01/2014 10.00,"2,6","12,2","8,9","34,2","78,3","3,2"
19/01/2014 11.00,"2,6","12,8","9,5","34,2","75,4","3,5"
19/01/2014 12.00,"2,6","14,0","10,6","34,2","76,6","4,5"
19/01/2014 13.00,"2,6","15,0","10,9","34,2","76,6","5,7"
19/01/2014 14.00,"2,6","13,7","9,6","34,2","75,3","5,9"
19/01/2014 15.00,"3,1","13,3","9,5","34,2","77,5","5,6"
19/01/2014 16.00,"2,9","13,0","9,3","34,2","82,0","5,6"
19/01/2014 17.00,"2,8","12,7","8,9","34,2","80,4","5,5"
19/01/2014 18.00,"3,9","13,3","9,5","34,2","81,1","6,2"
19/01/2014 19.00,"4,1","13,5","9,6","34,2","79,8","6,4"
19/01/2014 20.00,"4,6","14,7","10,6","34,2","78,2","7,3"
19/01/2014 21.00,"4,5","16,3","12,1","34,2","76,1","9,6"
19/01/2014 22.00,"4,6","13,3","10,1","34,2","79,7","5,4"
19/01/2014 23.00,"4,6","12,2","9,0","34,2","80,3","3,6"
20/01/2014 0.00,"4,6","11,7","8,3","34,2","79,5","2,9"
20/01/2014 1.00,,"11,6","8,3","61,3","78,6","2,1"
20/01/2014 2.00,"4,6",,,"61,3","75,9","1,9"
20/01/2014 3.00,"4,6","11,9","8,0","61,3",,"1,7"
20/01/2014 4.00,"4,6","14,3","8,7","61,3","60,6","1,9"
20/01/2014 5.00,"4,5","16,8","9,1","61,3","57,5","1,9"
20/01/2014 6.00,"3,9","19,4","10,1","61,3","56,0","2,4"
20/01/2014 7.00,"4,6","20,0","9,8","61,3","48,8","2,2"
20/01/2014 8.00,"4,5","32,5","19,7","61,3","32,5","8,6"
20/01/2014 9.00,"4,5","38,9","22,3","61,3","35,3","11,8"
20/01/2014 10.00,"4,5","33,7","17,4","61,3","47,1","6,5"
20/01/2014 11.00,"4,6","28,7","12,5","61,3","58,2","5,0"
20/01/2014 12.00,"4,5","29,3","12,1","61,3","59,9","4,5"
20/01/2014 13.00,,"32,3","13,5","61,3","57,5","6,5"
20/01/2014 14.00,"2,1","32,8","14,8","61,3","59,7","7,6"
20/01/2014 15.00,"2,0","30,4","11,9","61,3","70,2","5,1"
20/01/2014 16.00,"2,0","37,2","14,0","61,3","67,3","8,4"
20/01/2014 17.00,"2,0","38,2","17,6","61,3","61,6","10,9"
20/01/2014 18.00,"2,0","39,4","18,6","61,3","65,2","15,1"
20/01/2014 19.00,"2,0","42,8","22,0","61,3","63,4","18,5"
20/01/2014 20.00,"2,0","34,1","14,1","61,3","71,8","6,6"
20/01/2014 21.00,"1,8","31,4","11,1","61,3","75,0","4,2"
20/01/2014 22.00,"1,7","31,1","10,1","61,3","74,4","3,3"
20/01/2014 23.00,"0,4","26,9","8,7","61,3","77,5","2,3"
21/01/2014 0.00,"1,6","22,8","7,4","61,3","77,4","1,8"
21/01/2014 1.00,"1,7","21,3","6,9","11,2","79,0","1,6"
21/01/2014 2.00,"1,2","13,6","6,1","11,2","77,4","1,4"
21/01/2014 3.00,"1,3","7,5","5,5","11,2","77,7","1,4"
21/01/2014 4.00,"1,4","7,6","5,1","11,2","77,7","1,2"
21/01/2014 5.00,"1,9","7,5","4,5","11,2","77,8","1,3"
21/01/2014 6.00,"1,7","8,0","4,8","11,2","76,4","1,4"
21/01/2014 7.00,"0,8","9,6","6,2","11,2","75,7","2,1"
21/01/2014 8.00,"1,0","12,4","8,5","11,2","72,3","3,3"
21/01/2014 9.00,"2,0","14,8","10,5","11,2","71,3","4,7"
21/01/2014 10.00,"1,9","13,1","9,2","11,2","72,1","3,8"
21/01/2014 11.00,"1,8","14,5","10,2","11,2","70,3","4,6"
21/01/2014 12.00,"1,8","15,5","10,4","11,2","69,1","5,1"
21/01/2014 13.00,"1,6","13,2","9,2","11,2","68,8","4,4"
21/01/2014 14.00,"1,8","15,8","11,7","11,2","64,3","6,8"
21/01/2014 15.00,"1,8","17,3","11,8","11,2","64,4","6,7"
21/01/2014 16.00,"1,9","11,4","7,9","11,2","68,9","4,0"
21/01/2014 17.00,"1,8","11,2","8,1","11,2","69,2","4,3"
21/01/2014 18.00,"1,9","13,9","10,4","11,2","65,6","6,6"
21/01/2014 19.00,"1,7","14,9","11,4","11,2","65,1","5,8"
21/01/2014 20.00,"1,2","14,0","10,8","11,2","65,4","5,4"
21/01/2014 21.00,"1,1","12,3","9,0","11,2","66,7","4,9"
21/01/2014 22.00,"1,8","10,2","7,1","11,2","67,5","4,4"
21/01/2014 23.00,"2,0","9,7","6,6","11,2","68,4","2,9"
22/01/2014 0.00,"3,0","7,7","4,6","11,2","73,2","2,2"
22/01/2014 1.00,,"8,0","4,8","11,1","70,1","2,0"
22/01/2014 2.00,"2,7",,,"11,1","65,2","1,9"
22/01/2014 3.00,"2,2","8,6","5,3","11,1",,"1,6"
22/01/2014 4.00,"2,1","7,4","4,4","11,1","68,1","1,5"
22/01/2014 5.00,"2,1","7,5","4,4","11,1","61,3","1,5"
22/01/2014 6.00,"2,0","8,0","4,9","11,1","62,2","1,8"
22/01/2014 7.00,"2,0","11,6","8,5","11,1","57,2","3,0"
22/01/2014 8.00,"2,1","19,0","14,6","11,1","43,8","7,3"
22/01/2014 9.00,"2,0","17,2","12,3","11,1","55,3","6,6"
22/01/2014 10.00,"2,0","13,5","9,0","11,1","54,5","3,8"
22/01/2014 11.00,"2,0","12,3","8,3","11,1","59,6","4,2"
22/01/2014 12.00,"2,0",,,"11,1","70,1","3,1"
22/01/2014 13.00,"1,5",,,"11,1","72,7","3,2"
22/01/2014 14.00,,,,"11,1",,
22/01/2014 15.00,,,,"11,1",,
22/01/2014 16.00,"0,5","8,0","6,7","11,1","68,1","2,2"
22/01/2014 17.00,"0,6","10,1","8,7","11,1","68,1","3,0"
22/01/2014 18.00,"0,5","10,6","9,1","11,1","70,3","2,7"
22/01/2014 19.00,"0,2","11,5","9,8","11,1","68,7","4,1"
22/01/2014 20.00,"0,6","24,5","22,6","11,1","53,6","6,5"
22/01/2014 21.00,"0,5","35,0","33,1","11,1","44,6","9,3"
22/01/2014 22.00,"0,4","15,0","13,5","11,1","63,6","4,2"
22/01/2014 23.00,"0,3","11,6","10,0","11,1","62,3","3,5"
23/01/2014 0.00,"0,4","13,7","12,0","11,1","47,2","3,3"
23/01/2014 1.00,"0,1","15,3","13,8","28,4","40,5","3,1"
23/01/2014 2.00,"0,1","10,1","8,6","28,4","36,0","2,1"
23/01/2014 3.00,"0,2","10,7","8,9","28,4","29,6","2,1"
23/01/2014 4.00,"0,2","9,1","7,3","28,4","31,0","1,3"
23/01/2014 5.00,"0,2","5,7","4,2","28,4","34,4","1,1"
23/01/2014 6.00,"0,2","5,3","3,6","28,4","33,2","1,2"
23/01/2014 7.00,"0,4","6,5","4,9","28,4","29,1","1,2"
23/01/2014 8.00,"0,5","16,9","13,7","28,4","24,9","4,1"
23/01/2014 9.00,"0,7","43,6","31,5","28,4","21,0","9,9"
23/01/2014 10.00,"0,7","32,8","21,7","28,4","24,0","7,4"
23/01/2014 11.00,"0,7","26,6","20,7","28,4","41,3","5,1"
23/01/2014 12.00,"0,8","24,5","18,5","28,4","46,7","4,0"
23/01/2014 13.00,"0,7","15,2","11,7","28,4","59,8","2,7"
23/01/2014 14.00,"0,7","11,5","8,4","28,4","67,5","3,3"
23/01/2014 15.00,"0,7","12,2","8,9","28,4","63,9","4,3"
23/01/2014 16.00,"0,7","16,1","13,4","28,4","58,4","6,8"
23/01/2014 17.00,"0,7","18,0","16,1","28,4","48,6","9,1"
23/01/2014 18.00,"0,7","19,6","17,9","28,4","35,9","8,9"
23/01/2014 19.00,"0,7","27,3","25,3","28,4","26,1","9,6"
23/01/2014 20.00,"0,7","32,3","30,0","28,4","19,9","11,5"
23/01/2014 21.00,"0,7","36,3","32,8","28,4","16,9","16,4"
23/01/2014 22.00,"0,7","31,6","28,8","28,4","10,4","11,0"
23/01/2014 23.00,"0,7","25,5","23,7","28,4","14,9","8,1"
24/01/2014 0.00,"0,8","17,3","15,7","28,4","19,1","5,3"
24/01/2014 1.00,,"15,3","14,0","21,9","20,0","4,5"
24/01/2014 2.00,"1,0",,,"21,9","20,4","4,0"
24/01/2014 3.00,"0,7","11,2","9,6","21,9",,"3,9"
24/01/2014 4.00,"1,5","10,3","8,6","21,9","14,8","3,9"
24/01/2014 5.00,"1,6","7,5","6,1","21,9","41,4","1,9"
24/01/2014 6.00,"2,3","7,1","6,1","21,9","59,5","1,4"
24/01/2014 7.00,"2,5","10,2","8,4","21,9","68,4","2,1"
24/01/2014 8.00,"2,6","18,7","15,5","21,9","59,1","5,5"
24/01/2014 9.00,"2,6","21,6","17,2","21,9","59,6","5,9"
24/01/2014 10.00,"2,6","13,9","10,9","21,9","64,7","3,5"
24/01/2014 11.00,"3,0","9,1","6,8","21,9","72,5","2,5"
24/01/2014 12.00,"3,4","8,1","5,9","21,9","76,3","2,8"
24/01/2014 13.00,"3,5","11,6","9,0","21,9","73,1","4,2"
24/01/2014 14.00,"3,4","15,2","11,8","21,9","68,1","5,6"
24/01/2014 15.00,"3,4","10,8","8,0","21,9","68,0","3,2"
24/01/2014 16.00,"3,4","12,7","10,8","21,9","64,2","4,4"
24/01/2014 17.00,"3,8","12,7","10,9","21,9","64,7","4,4"
24/01/2014 18.00,"3,9","6,6","5,4","21,9","64,5","2,8"
24/01/2014 19.00,"3,9","44,8","39,8","21,9","28,5","20,7"
24/01/2014 20.00,"3,9","35,0","32,9","21,9","24,1","13,7"
24/01/2014 21.00,"3,9","35,4","33,2","21,9","26,1","11,1"
24/01/2014 22.00,"3,9","10,1","8,5","21,9","68,0","2,9"
24/01/2014 23.00,"3,9","5,8","4,6","21,9","69,4","2,3"
25/01/2014 0.00,"3,9","4,6","3,5","21,9","73,1","2,1"
25/01/2014 1.00,"3,9","4,9","4,0","8,2","64,4","1,8"
25/01/2014 2.00,"3,9","9,0","7,8","8,2","46,5","1,2"
25/01/2014 3.00,"3,9","7,4","6,0","8,2","41,9","1,6"
25/01/2014 4.00,"3,9","6,9","5,5","8,2","36,6","1,2"
25/01/2014 5.00,"3,9","8,7","7,2","8,2","40,3","1,7"
25/01/2014 6.00,"3,9","5,6","4,6","8,2","35,1","1,8"
25/01/2014 7.00,"3,9","5,9","4,6","8,2","38,6","1,4"
25/01/2014 8.00,"5,0","27,4","24,0","8,2","17,2","6,2"
25/01/2014 9.00,"5,0","16,3","11,3","8,2","26,6","2,5"
25/01/2014 10.00,"5,5","18,0","10,6","8,2","29,6","2,4"
25/01/2014 11.00,"6,3","20,7","11,7","8,2","34,0","2,9"
25/01/2014 12.00,"7,1","21,9","13,0","8,2","37,7","2,8"
25/01/2014 13.00,"5,9","8,3","5,9","8,2","52,7","1,8"
25/01/2014 14.00,"6,0","8,8","5,5","8,2","50,0","1,9"
25/01/2014 15.00,"6,0","11,2","8,2","8,2","52,2","1,8"
25/01/2014 16.00,"9,5","17,0","14,4","8,2","43,1","1,6"
25/01/2014 17.00,"9,7","15,4","13,8","8,2","45,5","1,9"
25/01/2014 18.00,"11,3","18,5","17,3","8,2","37,1","2,3"
25/01/2014 19.00,"10,8","12,3","10,9","8,2","42,2","1,8"
25/01/2014 20.00,"14,4","19,3","17,5","8,2","34,1","2,1"
25/01/2014 21.00,"11,3","17,2","15,4","8,2","36,3","2,0"
25/01/2014 22.00,"9,4","10,3","8,5","8,2","46,9","1,5"
25/01/2014 23.00,"12,3","17,9","16,3","8,2","41,7","1,7"
26/01/2014 0.00,"10,3","11,8","10,4","8,2","52,5","1,6"
26/01/2014 1.00,,"8,3","6,5","10,6","61,2","1,4"
26/01/2014 2.00,"6,4",,,"10,6","63,5","1,2"
26/01/2014 3.00,"6,1","6,5","5,1","10,6",,"1,1"
26/01/2014 4.00,"5,9","4,7","3,3","10,6","63,8","1,1"
26/01/2014 5.00,"5,8","4,0","2,5","10,6","65,4","0,9"
26/01/2014 6.00,"5,2","3,7","2,3","10,6","62,8","0,9"
26/01/2014 7.00,"5,7","6,2","4,9","10,6","56,2","1,0"
26/01/2014 8.00,"5,0","6,3","4,7","10,6","55,1","1,0"
26/01/2014 9.00,"4,4","5,6","3,7","10,6","56,0","1,0"
26/01/2014 10.00,"5,5","7,2","4,5","10,6","57,0","1,4"
26/01/2014 11.00,"6,4","8,6","5,6","10,6","60,4","1,5"
26/01/2014 12.00,"7,5","10,3","6,6","10,6","64,9","1,6"
26/01/2014 13.00,"6,2","8,1","5,1","10,6","66,8","2,7"
26/01/2014 14.00,"5,9","7,7","5,0","10,6","68,8","1,9"
26/01/2014 15.00,"6,0","6,3","4,4","10,6","70,8","1,7"
26/01/2014 16.00,"5,9","6,4","4,5","10,6","59,4","1,8"
26/01/2014 17.00,"5,8","6,9","5,1","10,6","59,0","2,0"
26/01/2014 18.00,"5,6","6,3","4,5","10,6","58,0","2,7"
26/01/2014 19.00,"5,6","6,6","5,2","10,6","59,8","2,9"
26/01/2014 20.00,"5,0","6,5","5,0","10,6","63,8","3,2"
26/01/2014 21.00,"4,9","6,0","4,1","10,6","62,2","2,8"
26/01/2014 22.00,"5,3","5,7","4,2","10,6","61,0","1,6"
26/01/2014 23.00,"6,5","11,2","9,9","10,6","55,7","1,5"
27/01/2014 0.00,"6,8","10,0","9,1","10,6","58,4","1,3"
27/01/2014 1.00,"6,8","10,3","9,3","20,0","59,7","1,3"
27/01/2014 2.00,"10,2","15,6","13,9","20,0","58,2","1,1"
27/01/2014 3.00,"6,7","5,0","3,7","20,0","66,9","0,9"
27/01/2014 4.00,"5,8","3,6","2,4","20,0","59,6","0,8"
27/01/2014 5.00,"5,7","6,8","5,6","20,0","54,1","0,9"
27/01/2014 6.00,"4,8","3,4","2,2","20,0","59,5","0,8"
27/01/2014 7.00,"4,2","4,3","3,3","20,0","59,7","1,1"
27/01/2014 8.00,"4,1","7,3","5,5","20,0","56,2","2,0"
27/01/2014 9.00,"5,2","8,3","6,2","20,0","57,3","2,1"
27/01/2014 10.00,"4,3","7,2","4,6","20,0","62,8","1,9"
27/01/2014 11.00,"4,6","5,6","3,4","20,0","66,9","1,5"
27/01/2014 12.00,,,,"20,0","63,0","1,4"
27/01/2014 13.00,"2,0","5,8","3,8","20,0","69,5","1,2"
27/01/2014 14.00,"2,0","5,6","3,7","20,0","74,8","1,5"
27/01/2014 15.00,"1,8","8,7","6,5","20,0","73,7","2,0"
27/01/2014 16.00,"2,0","12,3","9,2","20,0","68,8","2,1"
27/01/2014 17.00,"2,0","24,1","22,1","20,0","51,4","4,1"
27/01/2014 18.00,"2,6","56,8","51,9","20,0","40,3","27,5"
27/01/2014 19.00,"2,9","86,2","69,7","20,0","33,7","44,4"
27/01/2014 20.00,"2,7","60,2","54,7","20,0","33,9","27,9"
27/01/2014 21.00,"2,0","28,6","24,8","20,0","55,3","7,2"
27/01/2014 22.00,"2,0","21,1","18,6","20,0","66,1","6,9"
27/01/2014 23.00,"2,0","12,6","10,9","20,0","72,0","3,5"
28/01/2014 0.00,"1,9","9,8","8,8","20,0","57,1","2,2"
28/01/2014 1.00,,"12,0","10,4","15,7","44,0","2,5"
28/01/2014 2.00,"2,0",,,"15,7","65,1","1,4"
28/01/2014 3.00,"2,2","12,3","10,8","15,7",,"1,6"
28/01/2014 4.00,"2,6","9,3","8,1","15,7","48,9","1,4"
28/01/2014 5.00,"2,0","9,1","7,5","15,7","45,5","1,4"
28/01/2014 6.00,"2,0","8,2","7,0","15,7","42,8","1,3"
28/01/2014 7.00,"2,0","8,9","7,2","15,7","37,5","1,5"
28/01/2014 8.00,"2,0","17,6","15,7","15,7","24,3","3,2"
28/01/2014 9.00,"2,3","34,6","29,6","15,7","16,1","8,3"
28/01/2014 10.00,"2,6","36,0","27,4","15,7","16,5","8,3"
28/01/2014 11.00,"2,2","33,5","24,5","15,7","25,4","7,2"
28/01/2014 12.00,"2,6","25,1","19,5","15,7","50,8","3,9"
28/01/2014 13.00,"2,7","16,3","12,4","15,7","66,3","1,9"
28/01/2014 14.00,"2,2","11,8","9,3","15,7","67,8","2,7"
28/01/2014 15.00,"2,0","12,7","10,0","15,7","69,6","2,5"
28/01/2014 16.00,"2,6","11,3","9,3","15,7","68,2","2,3"
28/01/2014 17.00,"2,0","15,5","13,7","15,7","56,2","3,1"
28/01/2014 18.00,"2,0","18,7","17,3","15,7","51,5","4,0"
28/01/2014 19.00,"2,0","20,6","19,0","15,7","45,9","5,7"
28/01/2014 20.00,"2,0","31,2","29,5","15,7","42,1","7,2"
28/01/2014 21.00,"2,1","30,0","28,2","15,7","39,8","4,9"
28/01/2014 22.00,"2,0","24,3","22,8","15,7","44,9","3,6"
28/01/2014 23.00,"2,0","15,4","13,9","15,7","54,0","3,0"
29/01/2014 0.00,"1,7","17,4","16,0","15,7","44,8","3,1"
29/01/2014 1.00,"1,5","22,4","20,6","24,3","38,8","2,9"
29/01/2014 2.00,"1,9","24,8","22,9","24,3","23,8","2,5"
29/01/2014 3.00,"1,3","24,5","22,7","24,3","16,1","2,6"
29/01/2014 4.00,"0,4","17,5","15,7","24,3","14,3","2,0"
29/01/2014 5.00,"0,1","16,4","14,8","24,3","15,5","1,6"
29/01/2014 6.00,"0,1","13,9","12,8","24,3","22,1","1,7"
29/01/2014 7.00,"0,1","13,6","12,4","24,3","22,8","2,0"
29/01/2014 8.00,"1,4","59,7","31,7","24,3","8,1","18,3"
29/01/2014 9.00,"1,2","61,6","35,8","24,3","18,9","19,4"
29/01/2014 10.00,,"12,8","10,0","24,3","65,6","2,1"
29/01/2014 11.00,,"10,6","8,0","24,3","71,0","1,6"
29/01/2014 12.00,"0,1","8,3","6,1","24,3","78,9","1,6"
29/01/2014 13.00,,"9,4","7,0","24,3","78,1","2,0"
29/01/2014 14.00,,"11,6","9,3","24,3","76,8","3,3"
29/01/2014 15.00,,"16,5","11,5","24,3","78,3","3,7"
29/01/2014 16.00,,"10,2","8,1","24,3","84,2","3,0"
29/01/2014 17.00,,"18,5","15,0","24,3","76,3","6,6"
29/01/2014 18.00,,"30,7","27,9","24,3","61,7","12,8"
29/01/2014 19.00,,"32,6","30,2","24,3","57,4","14,4"
29/01/2014 20.00,,"39,5","35,1","24,3","55,1","12,4"
29/01/2014 21.00,,"21,3","19,0","24,3","70,2","8,9"
29/01/2014 22.00,,"18,1","16,2","24,3","60,8","9,2"
29/01/2014 23.00,,"13,1","11,4","24,3","60,5","5,1"
30/01/2014 0.00,,"8,9","7,4","24,3","75,3","1,8"
30/01/2014 1.00,,"7,5","5,9","26,7","78,0","1,3"
30/01/2014 2.00,,,,"26,7","79,7","1,2"
30/01/2014 3.00,,"9,6","8,1","26,7",,"1,0"
30/01/2014 4.00,,"7,7","6,3","26,7","84,7","0,8"
30/01/2014 5.00,,"6,9","5,9","26,7","87,4","0,9"
30/01/2014 6.00,,"6,9","5,6","26,7","86,8","1,0"
30/01/2014 7.00,,"7,3","5,8","26,7","84,5","1,2"
30/01/2014 8.00,,"13,7","11,0","26,7","78,6","3,5"
30/01/2014 9.00,,"17,0","13,2","26,7","78,5","3,7"
30/01/2014 10.00,,"11,8","9,5","26,7","80,1","2,6"
30/01/2014 11.00,,"12,2","9,8","26,7","83,4","2,9"
30/01/2014 12.00,,"11,1","8,9","26,7","81,4","2,6"
30/01/2014 13.00,,"10,2","7,7","26,7","81,0","3,2"
30/01/2014 14.00,,"11,5","8,8","26,7","80,1","3,7"
30/01/2014 15.00,,"10,1","7,6","26,7","81,6","3,9"
30/01/2014 16.00,,"12,2","8,5","26,7","82,4","3,5"
30/01/2014 17.00,,"8,8","6,6","26,7","83,5","3,5"
30/01/2014 18.00,,"8,5","6,6","26,7","83,7","4,0"
30/01/2014 19.00,,"9,1","7,2","26,7","83,7","4,3"
30/01/2014 20.00,,"10,6","8,2","26,7","82,7","4,5"
30/01/2014 21.00,,"10,6","8,0","26,7","83,1","3,8"
30/01/2014 22.00,,"7,5","6,0","26,7","83,4","3,1"
30/01/2014 23.00,,"5,8","4,6","26,7","83,9","2,4"
31/01/2014 0.00,,"4,9","3,8","26,7","84,3","1,4"
31/01/2014 1.00,,"4,7","3,5","32,3","82,7","1,1"
31/01/2014 2.00,,"4,5","3,5","32,3","81,7","1,0"
31/01/2014 3.00,,"4,5","3,4","32,3","83,1","0,9"
31/01/2014 4.00,,"4,3","3,2","32,3","82,6","0,9"
31/01/2014 5.00,,"4,2","3,1","32,3","83,8","0,8"
31/01/2014 6.00,,"4,2","3,1","32,3","83,5","0,9"
31/01/2014 7.00,,"4,9","3,4","32,3","82,5","1,2"
31/01/2014 8.00,,"6,4","4,4","32,3","77,7","1,9"
31/01/2014 9.00,,"7,8","5,4","32,3","75,9","1,9"
31/01/2014 10.00,,"7,7","5,8","32,3","75,3","1,9"
31/01/2014 11.00,,"6,7","4,8","32,3","74,3","1,6"
31/01/2014 12.00,,"7,2","5,2","32,3","76,9","2,1"
31/01/2014 13.00,,"12,7","8,1","32,3","76,3","2,9"
31/01/2014 14.00,,"11,0","8,2","32,3","77,6","3,2"
31/01/2014 15.00,,"9,0","6,3","32,3","80,4","2,9"
31/01/2014 16.00,,"6,6","5,1","32,3",,"2,6"
31/01/2014 17.00,"0,6","7,3","5,6","32,3","78,9","3,2"
31/01/2014 18.00,"0,7","8,3","6,9","32,3","78,2","3,5"
31/01/2014 19.00,"0,6","9,4","7,2","32,3","76,7","4,5"
31/01/2014 20.00,"0,7","8,4","6,8","32,3","76,4","7,7"
31/01/2014 21.00,"0,6","8,9","7,0","32,3","73,5","5,9"
31/01/2014 22.00,"0,7","9,3","7,2","32,3","71,9","6,1"
31/01/2014 23.00,"0,6","6,9","5,2","32,3","72,7","4,9"
01/02/2014 0.00,"0,5","5,6","4,3","32,3","69,7","2,9"
01/02/2014 1.00,,"4,9","3,4","30,7","69,2","1,5"
01/02/2014 2.00,"0,7",,,"30,7","65,5","1,0"
01/02/2014 3.00,"0,5","5,6","4,3","30,7",,"1,0"
01/02/2014 4.00,"0,6","5,7","4,2","30,7","68,5","1,0"
01/02/2014 5.00,"0,4","5,4","3,8","30,7","72,7","1,1"
01/02/2014 6.00,"0,3","5,3","3,9","30,7","66,9","0,8"
01/02/2014 7.00,"0,3","6,1","4,9","30,7","65,5","0,9"
01/02/2014 8.00,"0,1","6,8","5,2","30,7","65,2","1,5"
01/02/2014 9.00,"0,3","9,0","6,0","30,7","61,9","1,7"
01/02/2014 10.00,"0,6","8,6","6,0","30,7","61,5","2,0"
