"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
18/01/2011 20.00,"92,9","58,5",3,"2,2","10,6"
18/01/2011 21.00,"96,2","52,8","2,6","2,2","12,9"
18/01/2011 22.00,"46,8","38,1","1,7","1,2","17,8"
18/01/2011 23.00,"33,4","29,2","0,7","0,7","22,2"
19/01/2011 0.00,"27,7","24,6","0,5","0,6","24,4"
19/01/2011 1.00,"18,9","16,9","0,4","0,4","20,5"
19/01/2011 2.00,"13,9","12,3","0,1","0,2","25,1"
19/01/2011 3.00,"13,8","11,2","0,1","0,2","23,6"
19/01/2011 4.00,"11,5","9,1","0,1","0,2","26,4"
19/01/2011 5.00,"11,2","9,5","0,1","0,2","27,9"
19/01/2011 6.00,"13,9","11,6","0,2","0,2","27,7"
19/01/2011 7.00,"40,2",27,"0,5","0,4",17
19/01/2011 8.00,"78,7","37,1","0,9",1,"7,7"
19/01/2011 9.00,"96,6","43,7","1,3",2,"10,4"
19/01/2011 10.00,"58,7","36,2","0,8","1,5","19,4"
19/01/2011 11.00,"51,6",33,"0,6","1,5","28,2"
19/01/2011 12.00,39,"26,5","1,1","1,2","37,8"
19/01/2011 13.00,"17,9","13,2","0,8","0,3","57,1"
19/01/2011 14.00,"23,5","13,9","0,6","0,2","62,6"
19/01/2011 15.00,"15,4","11,7","0,3","0,2","64,5"
19/01/2011 16.00,"19,9","15,5","0,5","0,2","57,8"
19/01/2011 17.00,"29,1","25,2","0,5","0,3","51,2"
19/01/2011 18.00,"40,2","35,2","0,8","0,4","39,8"
19/01/2011 19.00,"54,5","47,7","0,7","0,5",22
19/01/2011 20.00,"62,4","41,9","0,9","0,3","19,8"
19/01/2011 21.00,"54,9","39,6","0,7","0,6","17,5"
19/01/2011 22.00,"55,1","43,5","0,6","0,6","11,4"
19/01/2011 23.00,"43,2","35,2","0,5","0,4",13
20/01/2011 0.00,"44,9","38,7","0,2","0,6","8,4"
20/01/2011 1.00,"34,9","32,2","0,1","0,6",15
20/01/2011 2.00,,,"0,1","0,5","26,3"
20/01/2011 3.00,"26,6","24,1","0,1","0,4","27,9"
20/01/2011 4.00,"22,4","19,9",,"0,4","25,1"
20/01/2011 5.00,"17,5","15,1","0,6","0,4",
20/01/2011 6.00,"15,2","11,9","0,5","0,2","31,5"
20/01/2011 7.00,39,"24,4","0,8","0,3","31,9"
20/01/2011 8.00,"69,8","37,4","1,6","0,5","23,1"
20/01/2011 9.00,54,"34,4","1,4","0,4","30,8"
20/01/2011 10.00,"77,9",41,"1,1","0,6","30,3"
20/01/2011 11.00,"48,8","30,7","1,6","0,5","35,3"
20/01/2011 12.00,"30,1","20,7","1,3","0,4","54,1"
20/01/2011 13.00,"30,7","19,6","0,8","0,2",60
20/01/2011 14.00,"36,8","21,7","0,7","0,4","59,6"
20/01/2011 15.00,"26,6","16,9","0,7","0,2","61,4"
20/01/2011 16.00,"39,2","24,5",1,"0,2","54,2"
20/01/2011 17.00,"41,4",27,"0,8","0,3","43,3"
20/01/2011 18.00,"41,5","28,1","0,6","0,3",39
20/01/2011 19.00,"44,9","30,3","0,9","0,4","31,1"
20/01/2011 20.00,"27,2","22,8","0,7","0,3",42
20/01/2011 21.00,"52,8","34,8","0,9","0,7","24,3"
20/01/2011 22.00,"41,7","32,9","0,6","0,5","23,7"
20/01/2011 23.00,"37,2","28,2","0,7","0,5","21,1"
21/01/2011 0.00,"28,2","24,5","0,7","0,4","22,6"
21/01/2011 1.00,"26,1",21,"0,7","0,3","22,6"
21/01/2011 2.00,"37,2","20,1","0,6","0,3","19,5"
21/01/2011 3.00,"16,3","14,3","0,4",,"16,4"
21/01/2011 4.00,"17,2","14,1","0,7","0,3","11,7"
21/01/2011 5.00,"15,5","12,4","0,4","0,3","16,9"
21/01/2011 6.00,17,"13,2","0,7","0,2","22,5"
21/01/2011 7.00,"26,7","20,2","0,6","0,4","28,6"
21/01/2011 8.00,"51,9","29,2",1,"0,5","15,3"
21/01/2011 9.00,"61,5","32,9","1,9","0,6","14,7"
21/01/2011 10.00,"44,3","28,5","1,1","0,4","21,6"
21/01/2011 11.00,"55,6","33,5","1,9","0,7","23,1"
21/01/2011 12.00,"33,9","24,1","2,6","0,2","40,7"
21/01/2011 13.00,"39,2","30,6","1,8","0,4","42,1"
21/01/2011 14.00,"41,2","29,5","1,5","0,5","39,2"
21/01/2011 15.00,"27,2","20,8","1,1","0,3",38
21/01/2011 16.00,"38,7","28,5","1,3","0,4","31,5"
21/01/2011 17.00,"44,6",32,"1,4","0,5",26
21/01/2011 18.00,"48,8","37,8","1,1","0,6","19,8"
21/01/2011 19.00,"48,2","38,6","1,2","0,9","22,9"
21/01/2011 20.00,"58,6","43,3","1,4","2,2","27,2"
21/01/2011 21.00,"52,8","36,2","1,8","0,9","24,8"
21/01/2011 22.00,"37,3","30,5",1,"0,7","23,7"
21/01/2011 23.00,29,"23,7",1,"0,6","22,5"
22/01/2011 0.00,"21,3","18,8","0,9","0,3","23,5"
22/01/2011 1.00,"22,7","20,2","0,2","0,2","21,9"
22/01/2011 2.00,,,"0,1","0,2","25,9"
22/01/2011 3.00,"20,7","17,7","0,1","0,2","28,1"
22/01/2011 4.00,"16,3","13,7",,"0,2","30,1"
22/01/2011 5.00,"15,4","12,4","0,5","0,2",
22/01/2011 6.00,"16,9","14,2","0,5","0,2","24,4"
22/01/2011 7.00,"35,5","25,2","0,8","0,3","14,8"
22/01/2011 8.00,"67,2","33,5",1,"0,7","10,6"
22/01/2011 9.00,"93,5","40,1","1,9","0,9","8,9"
22/01/2011 10.00,46,"30,8","1,3","0,3","16,4"
22/01/2011 11.00,"24,2","18,6","0,5","0,1","37,6"
22/01/2011 12.00,"17,4","13,7","0,9","0,1","53,9"
22/01/2011 13.00,"12,4","8,8","0,9","0,1","68,4"
22/01/2011 14.00,"24,4",14,"0,9","0,2","64,1"
22/01/2011 15.00,"13,1","9,7","0,6","0,1","64,1"
22/01/2011 16.00,"15,2","9,6","0,6","0,1","63,6"
22/01/2011 17.00,"35,3",23,1,"0,3","43,6"
22/01/2011 18.00,"59,4","34,9","0,7","0,6","21,5"
22/01/2011 19.00,"38,8","23,1","0,8","0,3","21,9"
22/01/2011 20.00,"29,9","20,5","0,4","0,2","47,4"
22/01/2011 21.00,"38,7","28,9","0,6","0,3","42,8"
22/01/2011 22.00,"31,1","25,4","0,4","0,3","39,9"
22/01/2011 23.00,"13,8","11,1","0,6","0,1","60,9"
23/01/2011 0.00,"21,9","17,9","0,6","0,2","47,8"
23/01/2011 1.00,"16,3","12,2",1,"0,2","48,6"
23/01/2011 2.00,"12,1","8,5","1,2","0,1","64,7"
23/01/2011 3.00,"11,9","9,1","1,2","0,1","56,7"
23/01/2011 4.00,"11,9","9,7","0,8","0,1","48,4"
23/01/2011 5.00,"10,3","7,8",1,"0,1","44,6"
23/01/2011 6.00,"11,2","7,9",1,"0,1","45,6"
23/01/2011 7.00,"12,8","9,7",1,"0,2","42,7"
23/01/2011 8.00,"16,5","12,7","1,1","0,2","42,4"
23/01/2011 9.00,"20,2","13,2","1,4","0,2","43,4"
23/01/2011 10.00,"15,5","9,9","1,4","0,2","49,6"
23/01/2011 11.00,"19,3","12,5","1,6","0,2","50,3"
23/01/2011 12.00,"16,2","10,3","2,1","0,2","52,8"
23/01/2011 13.00,"21,2","12,5","2,1","0,2","54,4"
23/01/2011 14.00,"15,2",11,"2,2","0,3","57,3"
23/01/2011 15.00,"15,7","11,8","1,9","0,4",58
23/01/2011 16.00,"18,4","14,3","2,3","0,4","57,2"
23/01/2011 17.00,"26,1","21,1","2,3","0,5","46,1"
23/01/2011 18.00,"39,2","31,6","2,1","0,7","33,6"
23/01/2011 19.00,"38,6","32,7","2,2",1,30
23/01/2011 20.00,"48,6","36,2","1,9","0,9","22,9"
23/01/2011 21.00,"59,3",41,"2,2","1,4","16,5"
23/01/2011 22.00,"46,4","35,5","2,1",1,"20,3"
23/01/2011 23.00,32,"27,5","1,7","0,7","18,9"
24/01/2011 0.00,"31,5","23,3","1,8","0,6","16,6"
24/01/2011 1.00,"15,2","12,6","2,6","0,3","32,6"
24/01/2011 2.00,,,"2,2","0,3","35,6"
24/01/2011 3.00,"15,9","13,8",2,,34
24/01/2011 4.00,"11,1","9,2",,"0,2","30,9"
24/01/2011 5.00,12,"9,5","0,2","0,2",
24/01/2011 6.00,15,"11,8","0,4","0,2","24,3"
24/01/2011 7.00,"23,2","15,3","0,4","0,3","18,8"
24/01/2011 8.00,"61,2","25,7","1,1","0,9","7,7"
24/01/2011 9.00,"98,8","40,8","1,8","2,2","10,5"
24/01/2011 10.00,"44,4","26,3",1,"0,7","27,3"
24/01/2011 11.00,"26,9","17,8","0,7","0,3",42
24/01/2011 12.00,22,"14,6","0,8","0,2",53
24/01/2011 13.00,"29,8","19,9",1,"0,3","54,3"
24/01/2011 14.00,"52,6","29,7","1,2","0,7","48,2"
24/01/2011 15.00,"38,5","25,3","1,3","0,5","51,4"
24/01/2011 16.00,"29,7","19,8","1,2","0,4","54,4"
24/01/2011 17.00,"40,3","28,6","1,1","0,6","48,6"
24/01/2011 18.00,"47,1","32,9",1,"0,7","44,9"
24/01/2011 19.00,"44,8","32,5","1,3","0,7","44,4"
24/01/2011 20.00,"39,2","28,2",1,"0,6","41,1"
24/01/2011 21.00,"36,1","27,6","0,9","0,5","44,7"
24/01/2011 22.00,"32,1",26,"0,8","0,5","41,4"
24/01/2011 23.00,"17,4","15,6","0,4","0,2","38,7"
25/01/2011 0.00,"11,9","9,5","0,3","0,2",52
25/01/2011 1.00,"12,1","9,9",0,"0,2","44,1"
25/01/2011 2.00,10,"8,1",0,"0,1",51
25/01/2011 3.00,"7,9","5,5",0,"0,1","58,8"
25/01/2011 4.00,"9,7","6,8",0,"0,1",52
25/01/2011 5.00,"9,7","7,2",0,"0,1","55,2"
25/01/2011 6.00,"11,4","9,1",0,"0,2","53,9"
25/01/2011 7.00,"18,6","14,3",0,"0,2",51
25/01/2011 8.00,"42,9","23,6","0,2","0,3","46,5"
25/01/2011 9.00,"64,3","32,4","0,8","0,6","39,8"
25/01/2011 10.00,"23,9","16,3","1,2","0,2",55
25/01/2011 11.00,"18,5","11,8","1,6","0,2","62,7"
25/01/2011 12.00,"20,2","12,5","0,8","0,2","66,4"
25/01/2011 13.00,"19,9","12,9","1,6","0,2","66,3"
25/01/2011 14.00,"31,5","19,3","1,8","0,3","66,2"
25/01/2011 15.00,"34,7","17,3","1,7","0,3","68,8"
25/01/2011 16.00,"22,5","15,7","1,4","0,4","69,1"
25/01/2011 17.00,"31,4","24,9","1,4","0,5","65,8"
25/01/2011 18.00,"77,7","51,7","1,6","1,8","43,6"
25/01/2011 19.00,"94,9","65,7","1,3",2,23
25/01/2011 20.00,"67,5","54,5","0,5","1,4","18,5"
25/01/2011 21.00,"64,4","50,2","0,5","1,3","16,3"
25/01/2011 22.00,"53,3","41,6","0,5",1,"18,4"
25/01/2011 23.00,"37,2","33,6","0,2","0,8","25,7"
26/01/2011 0.00,21,"18,7","0,1","0,3","26,4"
26/01/2011 1.00,"17,9","16,3","0,1","0,3","25,6"
26/01/2011 2.00,,,0,"0,2","19,5"
26/01/2011 3.00,"16,9","14,3","0,1","0,2","19,6"
26/01/2011 4.00,15,"13,3",,"0,2",26
26/01/2011 5.00,"14,4","12,7","0,8","0,2",
26/01/2011 6.00,"20,2","18,1","0,3","0,2","31,2"
26/01/2011 7.00,"35,4","29,1","0,4","0,3","20,8"
26/01/2011 8.00,"55,5","37,3","1,1","0,4","13,9"
26/01/2011 9.00,"57,6","35,3","1,1","0,7","18,9"
26/01/2011 10.00,"29,9","20,3","1,8","0,3","45,7"
26/01/2011 11.00,18,13,"2,3","0,1",66
26/01/2011 12.00,20,"13,5","2,5","0,2","68,7"
26/01/2011 13.00,"20,6","13,5",2,"0,2","72,5"
26/01/2011 14.00,"28,5","16,2","2,2","0,3",74
26/01/2011 15.00,"24,2","16,5","1,5","0,2","76,5"
26/01/2011 16.00,"37,3","23,4","1,4","0,2","66,3"
26/01/2011 17.00,"30,3","22,4",1,"0,2","60,7"
26/01/2011 18.00,"29,1","23,6",1,"0,2","54,9"
26/01/2011 19.00,"32,4",30,"0,9","0,4","49,9"
26/01/2011 20.00,"32,8","30,3","0,8","0,3","49,8"
26/01/2011 21.00,"26,2",24,"0,6","0,2","60,1"
26/01/2011 22.00,28,"25,5","0,8","0,3","57,7"
26/01/2011 23.00,"20,6","18,8",1,"0,2","61,1"
27/01/2011 0.00,"14,3","12,1","1,5","0,1",69
27/01/2011 1.00,"10,3","8,4","1,6","0,1","75,5"
27/01/2011 2.00,"9,5","7,2","1,8","0,1","73,3"
27/01/2011 3.00,"8,3","6,1","1,5",,"72,5"
27/01/2011 4.00,"7,7","5,5","1,7","0,1","76,2"
27/01/2011 5.00,"8,3","6,2","1,5","0,1","75,5"
27/01/2011 6.00,"8,8","6,9","1,4","0,1","71,4"
27/01/2011 7.00,"11,7","9,6","1,7","0,1",64
27/01/2011 8.00,"16,3",13,"1,1","0,1","59,3"
27/01/2011 9.00,"26,8","22,7","1,3","0,1","52,1"
27/01/2011 10.00,"30,3","26,5","1,5","0,2","50,8"
27/01/2011 11.00,"29,9","23,9","1,5","0,2","49,8"
27/01/2011 12.00,"21,3","16,5","1,8","0,1",55
27/01/2011 13.00,"17,1","13,3","1,4","0,1","62,2"
27/01/2011 14.00,"14,7","11,9","1,5","0,1","68,3"
27/01/2011 15.00,"12,3","9,6","1,5","0,1","68,6"
27/01/2011 16.00,"10,2","7,9","1,2","0,1",73
27/01/2011 17.00,"15,4","11,3","1,1","0,2","67,2"
27/01/2011 18.00,"17,8","15,1","1,4","0,2","59,4"
27/01/2011 19.00,"15,9","13,7","1,3","0,2","62,2"
27/01/2011 20.00,"17,3","14,3","1,8","0,2","63,9"
27/01/2011 21.00,"14,8","12,5","1,7","0,2","65,7"
27/01/2011 22.00,"12,3","10,5","1,6","0,2","68,5"
27/01/2011 23.00,"11,7","8,6","1,7","0,2",69
28/01/2011 0.00,"9,8","6,9","1,3","0,1","72,7"
28/01/2011 1.00,"8,2","5,5","0,6","0,1","71,4"
28/01/2011 2.00,,,"0,4","0,1","75,2"
28/01/2011 3.00,"11,7","9,8","0,6","0,1",76
28/01/2011 4.00,"8,8","7,1",,"0,1","75,6"
28/01/2011 5.00,"7,8","5,6","0,6","0,1",
28/01/2011 6.00,"9,1","6,4","0,7","0,1","74,2"
28/01/2011 7.00,"9,7","6,9","0,4","0,1",74
28/01/2011 8.00,"14,8","10,2","0,4","0,1","71,2"
28/01/2011 9.00,14,"10,6","0,5","0,1","67,8"
28/01/2011 10.00,"14,3","10,6","0,6","0,1","65,9"
28/01/2011 11.00,"13,2","9,6","0,4","0,1","66,5"
28/01/2011 12.00,17,"11,8","0,5","0,1","64,7"
28/01/2011 13.00,"26,4","19,4","0,7","0,2","56,5"
28/01/2011 14.00,33,"21,6","0,7","0,3","53,8"
28/01/2011 15.00,"31,8","20,3","0,6","0,2","55,4"
28/01/2011 16.00,"19,9","15,7","0,4","0,2","58,8"
28/01/2011 17.00,"29,9","22,5","0,8","0,3","54,7"
28/01/2011 18.00,"25,2","19,8","0,8","0,3","54,8"
28/01/2011 19.00,"29,8","22,4",1,"0,3","51,5"
28/01/2011 20.00,"25,8","20,2","0,7","0,2","49,6"
28/01/2011 21.00,"26,7","21,7","0,8","0,3","47,1"
28/01/2011 22.00,"21,1","17,4","0,6","0,2","48,8"
28/01/2011 23.00,"15,7","12,5","0,6","0,2","54,2"
29/01/2011 0.00,"11,4","8,9","0,7","0,2","59,3"
29/01/2011 1.00,"10,4","8,2","1,5","0,1","61,1"
29/01/2011 2.00,9,"7,1",1,"0,1","61,8"
29/01/2011 3.00,"8,2","5,8","0,9","0,1","63,6"
29/01/2011 4.00,9,"5,8","0,8","0,1","64,9"
29/01/2011 5.00,"9,2","6,5","0,9","0,1","66,1"
29/01/2011 6.00,"13,3","10,4","1,2","0,1",62
29/01/2011 7.00,"31,2","25,3","1,3","0,2","41,7"
29/01/2011 8.00,"87,8",45,"2,3","0,7","30,5"
29/01/2011 9.00,"118,5","54,8",3,"1,3","20,2"
29/01/2011 10.00,"26,4","18,8","1,6","0,2","51,3"
29/01/2011 11.00,"14,9","10,1","1,7","0,1","61,4"
29/01/2011 12.00,"12,4","8,7","1,9","0,1","63,7"
29/01/2011 13.00,"17,9","12,3","2,2","0,1","61,7"
29/01/2011 14.00,"21,8","14,3","1,9","0,2","58,3"
29/01/2011 15.00,"18,7","14,4","1,7","0,2","57,9"
29/01/2011 16.00,"20,3","16,2","1,7","0,3","52,1"
29/01/2011 17.00,"29,5",23,"1,9","0,4","44,3"
29/01/2011 18.00,"43,7","36,2",2,"0,7","29,4"
29/01/2011 19.00,"54,5","43,9","1,6","0,9","20,7"
29/01/2011 20.00,"49,2","40,4","1,7","0,8","19,4"
29/01/2011 21.00,"32,5","26,8","1,7","0,4","31,7"
29/01/2011 22.00,"28,5",23,"1,8","0,4","37,5"
29/01/2011 23.00,"40,8","31,8","1,7","0,6","16,5"
30/01/2011 0.00,"44,2","33,4","1,7","0,7","11,4"
30/01/2011 1.00,"35,8","30,8","2,1","0,5","15,9"
30/01/2011 2.00,,,2,"0,2","27,1"
30/01/2011 3.00,"20,5","17,4",2,,"36,1"
30/01/2011 4.00,"14,4","12,2",,"0,2","36,8"
30/01/2011 5.00,"10,8","9,1","0,5","0,2",
30/01/2011 6.00,"10,6","7,9","0,1","0,1","39,6"
30/01/2011 7.00,"9,8","8,1","0,1","0,1","47,2"
30/01/2011 8.00,"10,6","8,1",0,"0,1","51,1"
30/01/2011 9.00,"12,1","9,1","0,1","0,2","51,7"
30/01/2011 10.00,"12,6","10,5",0,"0,2","49,7"
30/01/2011 11.00,"12,5","9,2","0,1","0,2","51,8"
30/01/2011 12.00,"12,5","8,5","0,2","0,2","54,9"
30/01/2011 13.00,"21,1","13,3","0,6","0,2","56,6"
30/01/2011 14.00,"16,7","10,8","0,5","0,2","62,9"
30/01/2011 15.00,"13,4","9,4","0,2","0,2","68,7"
30/01/2011 16.00,"24,1","16,4","0,4","0,2","51,7"
30/01/2011 17.00,"19,4","16,4","0,1","0,4","49,3"
30/01/2011 18.00,"33,2","29,4","0,4","0,8","32,8"
30/01/2011 19.00,"34,8","29,3","0,4","0,6","23,6"
30/01/2011 20.00,"59,6","42,3","0,3","1,3","16,6"
30/01/2011 21.00,"65,6","44,3","0,9","1,6","11,2"
30/01/2011 22.00,"49,7","42,7","0,6","1,3","17,4"
30/01/2011 23.00,"45,2","38,1","0,6","1,2","16,4"
31/01/2011 0.00,"36,9","32,8","0,7","0,7",9
31/01/2011 1.00,"21,6","17,4","0,6","0,2",11
31/01/2011 2.00,20,"15,6","0,2","0,3","9,5"
31/01/2011 3.00,"15,9","13,6","0,3","0,2","7,3"
31/01/2011 4.00,"18,8","13,4","0,4","0,2","7,7"
31/01/2011 5.00,"19,8","15,3","0,6","0,3","7,2"
31/01/2011 6.00,"18,7",15,"0,1","0,3","18,5"
31/01/2011 7.00,61,"30,9",1,"0,6","6,6"
31/01/2011 8.00,"107,9",41,"1,7","1,3","4,1"
31/01/2011 9.00,"112,4","44,8","2,5","1,6","7,4"
31/01/2011 10.00,"51,7","34,7","1,1","0,3","22,5"
31/01/2011 11.00,"43,6","31,1",1,"0,3","28,6"
31/01/2011 12.00,"39,2","28,3","0,8","0,3","32,1"
31/01/2011 13.00,46,"30,6","1,1","0,4","31,9"
31/01/2011 14.00,"49,7","29,8","1,2","0,5","33,1"
31/01/2011 15.00,"38,3","28,6","1,4","0,3","38,5"
31/01/2011 16.00,"38,7","26,9","1,2","0,5","46,2"
31/01/2011 17.00,"40,9",32,"1,1","0,6","38,4"
31/01/2011 18.00,"123,5","57,8","2,8","1,6","12,7"
31/01/2011 19.00,"141,9","51,3","3,6","2,2","6,2"
31/01/2011 20.00,"77,1","50,3","2,2","1,4","12,4"
31/01/2011 21.00,80,"51,9","1,9","1,7","13,8"
31/01/2011 22.00,"49,5","40,1","1,1","1,2","17,6"
31/01/2011 23.00,"33,6","28,5","0,6","0,7","21,2"
01/02/2011 0.00,"23,3","20,7","0,7","0,4","25,9"
01/02/2011 1.00,19,"16,7",0,"0,4","27,4"
01/02/2011 2.00,,,0,"0,3","26,9"
01/02/2011 3.00,"19,4","17,7",0,"0,2","35,1"
01/02/2011 4.00,"17,7","15,6",,"0,3","22,7"
01/02/2011 5.00,"16,5","14,6","0,3","0,2",
01/02/2011 6.00,"19,7","16,1","0,9","0,3",35
01/02/2011 7.00,"57,8",33,"0,9","0,6","11,1"
01/02/2011 8.00,"160,5","46,6","2,6","1,8",4
01/02/2011 9.00,"152,1","51,6","4,4","1,3","11,7"
01/02/2011 10.00,"24,6",16,"0,8","0,2","43,5"
01/02/2011 11.00,"18,2","11,9","1,3","0,2","55,9"
01/02/2011 12.00,"13,2",9,"1,4","0,2","63,1"
01/02/2011 13.00,"13,4","9,4","1,2","0,2","67,1"
01/02/2011 14.00,"13,4","8,6","1,4","0,2","67,1"
01/02/2011 15.00,"22,8","14,1",2,"0,2","64,4"
01/02/2011 16.00,"16,2","11,8","2,1","0,2",67
01/02/2011 17.00,"35,5","28,3","2,5","0,3","50,1"
01/02/2011 18.00,"94,6","56,2","3,1","1,7","21,6"
01/02/2011 19.00,"89,2","58,3","2,8","1,1","10,1"
01/02/2011 20.00,"130,1","54,6","3,1","2,1","6,7"
01/02/2011 21.00,"195,8","51,1","5,2","2,9","8,5"
01/02/2011 22.00,"172,5","46,1",5,"3,2","8,8"
01/02/2011 23.00,"108,6","39,4","3,8","2,7","6,7"
02/02/2011 0.00,"60,7","40,3","2,4","1,7",5
02/02/2011 1.00,"41,8","35,9","1,7","0,7","6,7"
02/02/2011 2.00,"29,7","26,8","1,2","0,3","16,1"
02/02/2011 3.00,"20,1","17,5","1,3",,"28,8"
02/02/2011 4.00,"17,4","15,2","1,3","0,2","31,2"
02/02/2011 5.00,"16,2","13,8","1,2","0,2","24,2"
02/02/2011 6.00,"22,6","18,1","0,9","0,3","19,7"
02/02/2011 7.00,68,41,"1,6","0,7","9,6"
02/02/2011 8.00,"164,5","64,3","3,7","1,2","6,8"
02/02/2011 9.00,"144,2",61,"5,2","1,6","6,7"
02/02/2011 10.00,"57,2","35,9","3,3","0,4","21,3"
02/02/2011 11.00,"21,6","16,6","2,7","0,1",52
02/02/2011 12.00,"18,3",14,"3,1","0,1","61,1"
02/02/2011 13.00,19,"14,3","2,9","0,1","66,5"
02/02/2011 14.00,"29,3","19,8","3,3","0,2","63,8"
02/02/2011 15.00,"20,9","15,1","2,6","0,2","68,1"
02/02/2011 16.00,"31,7","22,9","2,7","0,3","60,8"
02/02/2011 17.00,"51,3",36,"2,2","0,6","48,2"
02/02/2011 18.00,"69,9","54,1","2,1","0,7","30,5"
02/02/2011 19.00,"115,3","76,5","2,9","2,1","23,2"
02/02/2011 20.00,"67,2","57,7","2,3","1,4","35,5"
02/02/2011 21.00,"50,5","39,7","2,3","0,6","48,6"
02/02/2011 22.00,"55,6","46,9","2,3","0,8","39,1"
02/02/2011 23.00,"42,9",32,"2,1","0,4","52,6"
03/02/2011 0.00,"19,2","16,2","1,6","0,2","65,2"
03/02/2011 1.00,17,"14,5","1,9","0,2","67,7"
03/02/2011 2.00,,,"1,7","0,2","70,7"
03/02/2011 3.00,"18,5","16,1",2,"0,2","65,5"
03/02/2011 4.00,"11,7","10,1",,"0,1",61
03/02/2011 5.00,"12,9","10,6","0,9","0,2",
03/02/2011 6.00,"19,3","16,5","0,8","0,2","51,7"
03/02/2011 7.00,"56,4","41,5","1,3","0,7","22,4"
03/02/2011 8.00,"41,5","35,2",1,"0,3","25,1"
03/02/2011 9.00,"116,3","59,6",2,"1,5","18,6"
03/02/2011 10.00,"33,1","24,7","1,8","0,3","45,8"
03/02/2011 11.00,"15,3",11,"1,3","0,1","68,5"
03/02/2011 12.00,"14,9","10,5","1,1","0,2","70,4"
03/02/2011 13.00,"17,2","11,8","2,1","0,2","70,1"
03/02/2011 14.00,"21,7",14,"2,5","0,2","71,6"
03/02/2011 15.00,"16,9","10,7","2,5","0,2","77,2"
03/02/2011 16.00,"16,2","11,2","1,4","0,2","81,1"
03/02/2011 17.00,"27,4","21,5","1,5","0,3","68,9"
03/02/2011 18.00,"36,5","28,7","0,9","0,4",58
03/02/2011 19.00,"23,5","18,5","0,7","0,6","70,7"
03/02/2011 20.00,"18,8","14,3","0,6","0,8",78
03/02/2011 21.00,"17,3","13,5","1,2","0,2",79
03/02/2011 22.00,"15,4","12,2","1,4","0,2","77,4"
03/02/2011 23.00,"13,2","11,1","1,6","0,2","76,3"
04/02/2011 0.00,"13,1","10,6","1,2","0,2","73,9"
04/02/2011 1.00,"10,4","7,9","0,9","0,2","75,2"
04/02/2011 2.00,"8,3","6,7","0,7","0,2","76,3"
04/02/2011 3.00,"8,1","6,2","0,8","0,1","77,5"
04/02/2011 4.00,"9,1","6,2","0,8","0,1","77,3"
04/02/2011 5.00,"10,8","8,6","0,7","0,1","74,2"
04/02/2011 6.00,10,"6,9","0,7","0,1","76,7"
04/02/2011 7.00,"10,8","8,4","0,6","0,1","77,8"
04/02/2011 8.00,"41,9","18,4",1,"0,2","70,4"
04/02/2011 9.00,"28,9","18,9","0,7","0,2","68,3"
04/02/2011 10.00,"30,5","17,1","0,7","0,1","71,3"
04/02/2011 11.00,"15,3","10,4","0,7","0,2","77,1"
04/02/2011 12.00,"14,4","9,3","0,5","0,1","79,5"
04/02/2011 13.00,"13,8","9,5","0,7","0,2","79,5"
04/02/2011 14.00,"25,7","15,3","1,6","0,2","75,7"
04/02/2011 15.00,"20,2","11,9","0,9","0,2","76,2"
04/02/2011 16.00,21,"15,6","0,6","0,2","75,2"
04/02/2011 17.00,"32,5","25,6","1,8","1,4","64,3"
04/02/2011 18.00,"36,3","29,5","1,5",3,"58,5"
04/02/2011 19.00,"45,9","37,5","1,2","3,9","53,2"
04/02/2011 20.00,"40,3","33,7","1,6","1,7","53,2"
04/02/2011 21.00,"45,3","38,3","0,6","0,5","46,3"
04/02/2011 22.00,"44,2","38,1","0,6","0,8",44
04/02/2011 23.00,"23,9","20,7","0,1","0,3","47,6"
05/02/2011 0.00,24,"20,7","0,4","0,4","43,8"
05/02/2011 1.00,"22,1",19,"1,2","0,3","40,1"
05/02/2011 2.00,,,"1,2","0,2","36,4"
05/02/2011 3.00,"21,2","19,1","1,1",,"40,8"
05/02/2011 4.00,"17,5",15,,"0,2","42,4"
05/02/2011 5.00,"16,3","14,2","0,2","0,2",
05/02/2011 6.00,"16,8","14,2","0,2","0,2","39,7"
05/02/2011 7.00,22,"18,1","0,1","0,2","39,1"
05/02/2011 8.00,"73,3","28,5",1,"0,3","34,4"
05/02/2011 9.00,"62,1",34,"0,9","0,4","33,7"
05/02/2011 10.00,31,21,"0,5","0,2","42,7"
05/02/2011 11.00,"31,5","20,8","0,9","0,2","49,1"
05/02/2011 12.00,"25,2","17,2",1,"0,2","57,7"
05/02/2011 13.00,"22,7","15,9","0,7","0,3","66,6"
05/02/2011 14.00,"33,2",20,"0,7","0,4",70
05/02/2011 15.00,"22,4","16,2","0,8","0,4","75,6"
05/02/2011 16.00,"21,8","17,3","1,5","0,4","76,4"
05/02/2011 17.00,"26,5","21,4","0,8","1,7","74,8"
05/02/2011 18.00,41,"35,3","0,8",4,"63,4"
05/02/2011 19.00,71,"55,9","1,6","2,9","39,4"
05/02/2011 20.00,"101,4","67,8","1,9","2,1","19,3"
05/02/2011 21.00,"82,2","62,7","1,4",2,"17,7"
05/02/2011 22.00,"47,4","41,7",1,1,"18,5"
