Stat,STATTE - SS7 Wind,,,,,
Parm,SO2,NOX,NO2,PM10,CO,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
17/01/2014 11.00,"1,9","28,7","17,6",,"0,2","0,6"
17/01/2014 12.00,"1,9","27,8","17,8","9,8","0,1","0,5"
17/01/2014 13.00,"1,8","27,2","18,1",,"0,1","0,6"
17/01/2014 14.00,"1,8","26,9","18,6","10,3","0,1","0,7"
17/01/2014 15.00,"2,4","37,6","28,2",,"0,1","0,6"
17/01/2014 16.00,"3,5","36,8","29,4","6,1","0,1","0,6"
17/01/2014 17.00,"3,9","39,6","33,2",,"0,1","0,6"
17/01/2014 18.00,"1,9","30,8","24,5","8,1","0,1","0,6"
17/01/2014 19.00,"1,9","28,6","24,7",,"0,1","0,7"
17/01/2014 20.00,"1,5","23,6","20,8","13,9","0,1","0,7"
17/01/2014 21.00,"1,5","18,4","16,4",,"0,1","0,8"
17/01/2014 22.00,"1,6","25,1","23,0","15,6","0,1","0,7"
17/01/2014 23.00,"1,4","16,1","14,9",,"0,1","0,7"
18/01/2014 0.00,"1,4","10,4","9,5","16,4","0,1","0,4"
18/01/2014 1.00,,"10,3","9,8",,"0,1","0,3"
18/01/2014 2.00,"1,6",,,"16,6","0,1","0,5"
18/01/2014 3.00,"1,8","14,4","13,8",,,"0,7"
18/01/2014 4.00,"1,5","13,9","12,7","17,3","0,2","0,6"
18/01/2014 5.00,"1,7","17,2","15,7",,"0,2",
18/01/2014 6.00,"1,6","18,1","17,2","24,7","0,2","0,5"
18/01/2014 7.00,"1,7","57,1","44,2",,"0,2","0,5"
18/01/2014 8.00,"1,5","34,6","31,8","18,8","0,2","0,6"
18/01/2014 9.00,"1,9","63,7","45,0",,"0,2","0,7"
18/01/2014 10.00,"1,6","35,2","26,3","25,4","0,2","0,6"
18/01/2014 11.00,"1,5","31,1","24,5",,"0,2","0,8"
18/01/2014 12.00,"1,7","20,8","14,5","16,6","0,2","0,6"
18/01/2014 13.00,"1,5","16,8","12,5",,"0,2","0,4"
18/01/2014 14.00,"1,5","23,3","17,7","16,1","0,1","0,4"
18/01/2014 15.00,"1,7","20,3","15,6",,"0,1","0,6"
18/01/2014 16.00,"1,9","21,0","17,0","13,2","0,1","0,7"
18/01/2014 17.00,"1,9","25,2","22,4",,"0,1","0,7"
18/01/2014 18.00,"2,3","24,9","23,0","13,9","0,1","0,6"
18/01/2014 19.00,"3,7","18,0","17,2",,"0,1","0,4"
18/01/2014 20.00,"2,1","13,1","12,6","17,8","0,1","0,3"
18/01/2014 21.00,"3,7","27,1","25,5",,"0,1","0,3"
18/01/2014 22.00,"3,0","12,5","11,9","20,3","0,1","0,3"
18/01/2014 23.00,"2,3","9,1","8,8",,"0,1","0,3"
19/01/2014 0.00,"2,4","15,7","14,6","17,1","0,1","0,3"
19/01/2014 1.00,"2,7","22,7","22,1",,"0,1","0,4"
19/01/2014 2.00,"2,0","19,0","18,3","18,6","0,1","0,6"
19/01/2014 3.00,"1,9","13,2","12,6",,"0,1","0,6"
19/01/2014 4.00,"1,9","11,1","10,6","25,4","0,1","0,6"
19/01/2014 5.00,"2,3","8,6","8,0",,"0,1","0,3"
19/01/2014 6.00,"3,9","10,8","10,5","20,8","0,1","0,3"
19/01/2014 7.00,"3,9","13,4","12,6",,"0,1","0,3"
19/01/2014 8.00,"2,1","7,1","6,6","24,4","0,1","0,6"
19/01/2014 9.00,"1,9","11,1","9,6",,"0,1","0,8"
19/01/2014 10.00,"1,9","8,0","6,6","85,2","0,1","0,4"
19/01/2014 11.00,"2,1","16,9","15,2",,"0,1","0,4"
19/01/2014 12.00,"1,9","8,3","7,8","42,7","0,1","0,3"
19/01/2014 13.00,"1,9","8,9","8,2",,"0,1","0,3"
19/01/2014 14.00,"1,9","9,5","8,7","21,7","0,1","0,3"
19/01/2014 15.00,"1,9","8,5","7,8",,"0,1","0,3"
19/01/2014 16.00,"1,9","15,7","14,7","24,4","0,1","0,3"
19/01/2014 17.00,"3,5","18,1","17,2",,"0,1","0,5"
19/01/2014 18.00,"3,4","18,8","17,5","22,5","0,1","0,4"
19/01/2014 19.00,"2,6","18,2","16,7",,"0,1","0,6"
19/01/2014 20.00,"2,1","9,1","7,9","20,3","0,1","0,7"
19/01/2014 21.00,"1,9","7,0","6,3",,"0,1","0,4"
19/01/2014 22.00,"1,9","12,8","12,0","21,0","0,1","0,6"
19/01/2014 23.00,"1,9","7,8","7,6",,"0,1","0,3"
20/01/2014 0.00,"2,0","13,7","12,9","31,5","0,1","0,3"
20/01/2014 1.00,,"7,1","6,7",,"0,1","0,6"
20/01/2014 2.00,"2,2",,,"33,9","0,1","0,3"
20/01/2014 3.00,"1,9","17,6","16,6",,,"0,3"
20/01/2014 4.00,"1,9","16,5","16,1","39,6","0,2","0,3"
20/01/2014 5.00,"1,9","10,2","9,8",,"0,2",
20/01/2014 6.00,"1,9","9,3","7,9","33,5","0,2","0,6"
20/01/2014 7.00,"1,9","9,2","8,9",,"0,2","0,5"
20/01/2014 8.00,"1,9","19,8","18,7","33,5","0,2","0,3"
20/01/2014 9.00,"1,9","24,8","21,4",,"0,3","0,4"
20/01/2014 10.00,"2,4","43,1","31,9","43,0","0,7","0,5"
20/01/2014 11.00,"3,0","33,1","25,5",,"0,2","1,4"
20/01/2014 12.00,"3,7","38,0","28,1","55,9","0,2","0,5"
20/01/2014 13.00,"2,4","23,1","14,7",,"0,2","0,4"
20/01/2014 14.00,"3,1","28,6","18,3","37,6","0,2","0,3"
20/01/2014 15.00,"2,1","28,5","19,6",,"0,3","0,5"
20/01/2014 16.00,"2,3","35,4","24,9","46,4","0,3","0,7"
20/01/2014 17.00,"1,3","47,3","36,1",,"0,3","0,4"
20/01/2014 18.00,"1,3","57,0","46,3","49,6","0,3","0,4"
20/01/2014 19.00,"1,3","24,3","18,3",,"0,3","0,3"
20/01/2014 20.00,"1,3","12,8","9,9","56,2","0,3","0,3"
20/01/2014 21.00,"1,2","11,0","8,9",,"0,3","0,3"
20/01/2014 22.00,"1,3","22,3","20,1","36,6","0,3","0,3"
20/01/2014 23.00,"1,3","8,4","7,1",,"0,3","0,3"
21/01/2014 0.00,"1,3","7,9","6,6","27,1","0,3","0,3"
21/01/2014 1.00,"1,3","7,3","6,4",,"0,3","0,2"
21/01/2014 2.00,"1,3","7,3","6,9","14,4","0,3","0,2"
21/01/2014 3.00,"1,3","7,3","6,4",,"0,3","0,2"
21/01/2014 4.00,"1,3","7,7","6,5","13,7","0,3","0,2"
21/01/2014 5.00,"1,3","6,6","5,0",,"0,3","0,2"
21/01/2014 6.00,"1,3","9,9","6,7","10,3","0,3","0,3"
21/01/2014 7.00,"1,3","19,6","12,6",,"0,3","0,2"
21/01/2014 8.00,"1,3","23,2","14,3","6,1","0,3","0,3"
21/01/2014 9.00,"1,3","28,0","18,3",,"0,3","0,2"
21/01/2014 10.00,"1,3","23,2","15,9","6,6","0,3","0,2"
21/01/2014 11.00,"1,3","26,9","16,4",,"0,3","0,2"
21/01/2014 12.00,"1,3","21,0","13,4","7,6","0,3","0,2"
21/01/2014 13.00,"1,2","18,2","11,5",,"0,3","0,2"
21/01/2014 14.00,"1,3","24,9","15,9","5,9","0,3","0,3"
21/01/2014 15.00,"1,3","35,8","24,4",,"0,3","0,3"
21/01/2014 16.00,"1,3","29,3","20,0","4,9","0,3","0,3"
21/01/2014 17.00,"1,3","33,1","23,0",,"0,3","0,3"
21/01/2014 18.00,"1,3","32,9","24,1","10,7","0,3","0,3"
21/01/2014 19.00,"1,3","14,8","10,5",,"0,3","0,3"
21/01/2014 20.00,"1,3","19,6","14,3","6,6","0,3","0,2"
21/01/2014 21.00,"1,3","32,9","28,4",,"0,3","0,4"
21/01/2014 22.00,"1,3","12,1","11,3","12,5","0,3","0,4"
21/01/2014 23.00,"1,1","16,7","15,0",,"0,3","0,4"
22/01/2014 0.00,"1,2","12,7","12,0","11,2","0,3","0,5"
22/01/2014 1.00,,"10,7","10,3",,"0,3","0,4"
22/01/2014 2.00,"1,4",,,"10,3","0,3","0,4"
22/01/2014 3.00,"1,4","53,9","37,5",,,"0,6"
22/01/2014 4.00,"1,3","10,6","10,0","13,2","0,3","0,6"
22/01/2014 5.00,"1,3","6,5","6,3",,"0,2",
22/01/2014 6.00,"1,3","31,6","17,2","8,1","0,2","0,4"
22/01/2014 7.00,"1,2","19,7","10,3",,"0,2","0,5"
22/01/2014 8.00,"1,3","18,2","11,4","7,1","0,2","0,5"
22/01/2014 9.00,"1,3","30,5","20,5",,"0,2","0,5"
22/01/2014 10.00,"1,3","52,8","31,9","6,1","0,3","0,6"
22/01/2014 11.00,"1,3","45,8","25,3",,"0,2","0,5"
22/01/2014 12.00,"1,1","31,7","18,1","12,0","0,2","0,4"
22/01/2014 13.00,"1,1","24,0","14,6",,"0,2","0,4"
22/01/2014 14.00,"1,0","29,9","18,3","7,1","0,2","0,3"
22/01/2014 15.00,"1,0","38,7","26,6",,"0,2","0,4"
22/01/2014 16.00,"1,3","73,8","45,2","5,1","0,2","0,4"
22/01/2014 17.00,"1,5","98,8","56,7",,"0,3","0,6"
22/01/2014 18.00,"1,8","106,6","55,6","8,5","0,3","0,8"
22/01/2014 19.00,"1,5","73,7","45,2",,"0,3","0,7"
22/01/2014 20.00,"1,4","93,6","52,5","15,6","0,2","0,5"
22/01/2014 21.00,"1,1","44,4","34,1",,"0,2","0,4"
22/01/2014 22.00,"0,8","34,2","29,2","16,1","0,2","0,5"
22/01/2014 23.00,"0,8","16,5","15,3",,"0,2","0,5"
23/01/2014 0.00,"0,8","6,2","5,8","18,3","0,2","0,3"
23/01/2014 1.00,"0,7","6,2","5,9",,"0,2","0,5"
23/01/2014 2.00,"0,7","6,3","5,9","10,7","0,3","0,7"
23/01/2014 3.00,"0,7","6,7","5,7",,"0,2","0,5"
23/01/2014 4.00,"0,7","4,7","4,3","12,0","0,2","0,4"
23/01/2014 5.00,"0,8","3,6","3,4",,"0,2","0,3"
23/01/2014 6.00,"0,9","5,2","4,2","11,7","0,2","0,4"
23/01/2014 7.00,"0,8","9,4","6,0",,"0,2","0,3"
23/01/2014 8.00,"0,9","19,4","12,5","6,6","0,2","0,3"
23/01/2014 9.00,"0,9","14,6","11,4",,"0,2",
23/01/2014 10.00,,,,,,
23/01/2014 11.00,,"91,0","36,5",,"0,4",
23/01/2014 12.00,,"194,8","29,5",,"0,4",
23/01/2014 13.00,,"40,6","32,0",,,
23/01/2014 14.00,"1,5","94,7","61,8","11,5","0,3",
23/01/2014 15.00,"1,9","62,0","47,4",,"0,3",
23/01/2014 16.00,"1,0","49,9","41,4","12,5","0,3",
23/01/2014 17.00,,,,,,
23/01/2014 18.00,,"28,6","24,2","29,8","0,3",
23/01/2014 19.00,"1,3","29,2","27,3",,"0,3","1,6"
23/01/2014 20.00,"1,0","15,5","14,2","23,2","0,3","1,0"
23/01/2014 21.00,"1,1","30,9","29,2",,"0,4","1,1"
23/01/2014 22.00,"1,2","28,9","26,8","26,9","0,4","1,3"
23/01/2014 23.00,"1,2","9,5","8,2",,"0,4","1,1"
24/01/2014 0.00,"1,1","9,6","8,1","29,5","0,5","1,7"
24/01/2014 1.00,,"18,2","16,2",,"0,4","1,1"
24/01/2014 2.00,"1,5",,,"25,6","0,4","0,8"
24/01/2014 3.00,"1,3","13,5","10,8",,,"0,8"
24/01/2014 4.00,"1,3","19,2","17,1","24,9","0,3","0,8"
24/01/2014 5.00,"1,3","28,2","24,3",,"0,3","1,3"
24/01/2014 6.00,"1,3","35,2","23,6","24,2","0,3","1,1"
24/01/2014 7.00,"1,6","80,9","55,0",,"0,3","1,1"
24/01/2014 8.00,"1,6","89,6","60,4","20,3","0,3","1,2"
24/01/2014 9.00,"1,3","85,6","57,0",,"0,2","1,0"
24/01/2014 10.00,"1,6","70,4","45,6","25,2","0,2",
24/01/2014 11.00,"1,3","42,1","24,6",,"0,2",
24/01/2014 12.00,"1,3","36,2","20,1","18,3","0,2","0,6"
24/01/2014 13.00,"1,3","43,0","26,2",,"0,2","0,6"
24/01/2014 14.00,"1,3","49,5","32,6","12,9","0,2","0,5"
24/01/2014 15.00,"1,4","34,2","20,0",,"0,2","0,5"
24/01/2014 16.00,"2,2","77,7","48,3","8,8","0,2","0,5"
24/01/2014 17.00,"1,6","49,0","31,4",,"0,2","0,5"
24/01/2014 18.00,"1,5","41,2","32,0","5,4","0,2","0,4"
24/01/2014 19.00,"1,3","53,9","37,3",,"0,2","0,4"
24/01/2014 20.00,"1,7","43,4","32,2","9,3","0,2","0,5"
24/01/2014 21.00,"1,3","30,5","23,8",,"0,2","0,5"
24/01/2014 22.00,"1,4","28,3","21,3","14,4","0,2","0,5"
24/01/2014 23.00,"1,3","10,0","6,7",,"0,2","0,6"
25/01/2014 0.00,"1,4","8,2","5,5","12,5","0,2","0,5"
25/01/2014 1.00,"1,3","11,1","5,5",,"0,2","0,6"
25/01/2014 2.00,"1,3","10,3","5,4","7,6","0,2","0,6"
25/01/2014 3.00,"1,3","5,3","2,0",,"0,2","0,6"
25/01/2014 4.00,"1,4","18,1","10,3","5,1","0,2","0,5"
25/01/2014 5.00,"1,5","14,0","8,4",,"0,2","0,5"
25/01/2014 6.00,"2,3","50,2","27,0","6,1","0,2","0,4"
25/01/2014 7.00,"2,8","81,0","30,4",,"0,3","0,5"
25/01/2014 8.00,"2,7","69,5","30,6","14,4","0,3","0,7"
25/01/2014 9.00,"2,7","41,0","20,0",,"0,4","1,1"
25/01/2014 10.00,"1,5","22,8","12,9","16,1","0,4","1,3"
25/01/2014 11.00,"1,6","25,1","14,3",,"0,4","1,4"
25/01/2014 12.00,"2,0","21,8","11,2","11,2","0,3","1,3"
25/01/2014 13.00,"1,3","22,8","13,5",,"0,3","1,0"
25/01/2014 14.00,"1,4","16,4","8,9","6,8","0,3","1,1"
25/01/2014 15.00,"1,3","11,7","7,4",,"0,3","1,1"
25/01/2014 16.00,"1,6","7,6","4,1","4,4","0,3","1,2"
25/01/2014 17.00,"1,3","7,8","4,6",,"0,4","1,4"
25/01/2014 18.00,"2,5","9,4","6,3","3,7","0,4","1,5"
25/01/2014 19.00,"2,3","6,1","3,3",,"0,4","1,4"
25/01/2014 20.00,"2,9","11,1","7,7","9,0","0,4","1,4"
25/01/2014 21.00,"2,2","11,9","9,0",,"0,4","1,5"
25/01/2014 22.00,"2,5","8,8","5,7","9,3","0,3","1,4"
25/01/2014 23.00,"2,4","7,8","5,0",,"0,3","1,2"
26/01/2014 0.00,"1,9","9,8","6,4","12,0","0,3","1,0"
26/01/2014 1.00,,"8,2","4,5",,"0,3","0,8"
26/01/2014 2.00,"1,7",,,"12,5","0,2","0,7"
26/01/2014 3.00,"2,1","9,0","5,7",,,"0,6"
26/01/2014 4.00,"2,3","7,8","4,6","10,5","0,2","0,6"
26/01/2014 5.00,"1,3","6,2","3,1",,"0,2","0,6"
26/01/2014 6.00,"1,3","6,9","3,5","11,2","0,2","0,6"
26/01/2014 7.00,"1,9","19,7","12,2",,"0,3","0,7"
26/01/2014 8.00,"1,3","17,3","10,8","9,0","0,3","0,8"
26/01/2014 9.00,"1,5","21,1","12,9",,"0,3","0,8"
26/01/2014 10.00,"1,7","14,5","8,0","9,8","0,3","0,9"
26/01/2014 11.00,"1,3","11,9","6,2",,"0,3","0,9"
26/01/2014 12.00,"0,9","10,9","6,0","6,6","0,3","0,9"
26/01/2014 13.00,"0,9","9,8","5,4",,"0,3","0,9"
26/01/2014 14.00,"1,6","10,4","6,1","4,9","0,3","0,9"
26/01/2014 15.00,"1,3","9,2","5,2",,"0,3","0,7"
26/01/2014 16.00,"1,3","11,5","7,1","3,4","0,3","0,8"
26/01/2014 17.00,"1,3","11,3","7,5",,"0,3","0,8"
26/01/2014 18.00,"1,3","13,8","9,8","6,6","0,3","0,8"
26/01/2014 19.00,"1,3","15,6","11,4",,"0,2","0,8"
26/01/2014 20.00,"1,3","15,5","11,1","10,0","0,2","0,7"
26/01/2014 21.00,"1,5","23,2","14,8",,"0,2","0,7"
26/01/2014 22.00,"1,3","25,8","17,4","12,7","0,3","0,7"
26/01/2014 23.00,"1,5","36,2","26,8",,"0,3","0,7"
27/01/2014 0.00,"1,8","28,2","21,7","9,8","0,3","0,8"
27/01/2014 1.00,"1,3","17,6","12,4",,"0,3","0,7"
27/01/2014 2.00,"1,4","7,4","4,2","12,9","0,2","0,6"
27/01/2014 3.00,"1,4","17,2","11,3",,"0,3","0,6"
27/01/2014 4.00,"1,3","15,5","10,6","10,0","0,3","0,6"
27/01/2014 5.00,"1,4","23,4","13,8",,"0,3","0,6"
27/01/2014 6.00,"1,4","49,9","27,5","14,2","0,3","0,6"
27/01/2014 7.00,"2,9","98,8","50,0",,"0,3","0,7"
27/01/2014 8.00,"2,9","113,8","50,6","16,1","0,3","0,8"
27/01/2014 9.00,"2,9","111,8","46,7",,"0,3","0,8"
27/01/2014 10.00,"1,3","39,5","22,4","14,4","0,3","0,7"
27/01/2014 11.00,"1,4","48,0","24,9",,"0,2","0,7"
27/01/2014 12.00,"1,4","19,1","10,2","11,5","0,2","0,6"
27/01/2014 13.00,"1,3","16,5","9,6",,"0,2","0,6"
27/01/2014 14.00,"1,3","39,0","25,4","7,1","0,2","0,6"
27/01/2014 15.00,"2,7","96,2","52,0",,,"0,5"
27/01/2014 16.00,"2,5","75,2","48,0","10,0","0,3","0,5"
27/01/2014 17.00,"2,7","114,4","69,3",,"0,3","0,6"
27/01/2014 18.00,"1,3","43,9","32,6","33,9","0,3","0,7"
27/01/2014 19.00,"2,5","103,8","62,3",,"0,4","0,9"
27/01/2014 20.00,"1,6","40,3","34,2","27,1","0,4","1,2"
27/01/2014 21.00,"2,6","43,7","40,1",,"0,7","1,1"
27/01/2014 22.00,"3,3","36,8","33,4","37,6","0,8","1,5"
27/01/2014 23.00,"2,9","32,7","29,3",,"0,7","1,8"
28/01/2014 0.00,"2,2","21,2","18,0","42,5","0,5","1,7"
28/01/2014 1.00,,"30,9","25,3",,"0,4","1,4"
28/01/2014 2.00,"2,9",,,"33,0","0,4","1,1"
28/01/2014 3.00,"3,1","15,4","12,0",,,"1,1"
28/01/2014 4.00,"3,2","10,3","7,0","17,8","0,3","0,9"
28/01/2014 5.00,"3,1","12,8","9,8",,"0,2","0,9"
28/01/2014 6.00,"2,4","15,4","12,0","16,1","0,2","0,8"
28/01/2014 7.00,"2,5","35,0","22,7",,"0,2","0,8"
28/01/2014 8.00,"2,3","20,8","16,5","10,5","0,2","0,7"
28/01/2014 9.00,"2,0","46,7","36,6",,"0,2","0,7"
28/01/2014 10.00,"2,3","25,6","17,6","13,4","0,3","0,9"
28/01/2014 11.00,"3,0","25,3","17,4",,"0,3","1,0"
28/01/2014 12.00,"3,2","40,6","24,8","12,0","0,3","0,9"
28/01/2014 13.00,"2,8","28,8","17,1",,"0,2","0,8"
28/01/2014 14.00,"2,8","54,1","31,9","9,8","0,2","0,7"
28/01/2014 15.00,"2,9","44,1","22,9",,"0,2","0,5"
28/01/2014 16.00,"2,9","23,4","15,9","9,5","0,2","0,5"
28/01/2014 17.00,"2,3","13,2","8,7",,"0,2","0,5"
28/01/2014 18.00,"1,9","22,1","15,5","12,2","0,2","0,7"
28/01/2014 19.00,"2,7","36,8","26,3",,"0,2","0,8"
28/01/2014 20.00,"3,0","82,6","46,1","22,0","0,3","0,9"
28/01/2014 21.00,"1,4","27,5","23,1",,"0,3","0,9"
28/01/2014 22.00,"1,5","32,8","25,5","19,3","0,3","0,8"
28/01/2014 23.00,"1,6","29,8","21,9",,"0,3","0,8"
29/01/2014 0.00,"1,7","25,1","15,7","19,3","0,3","0,8"
29/01/2014 1.00,"1,3","15,5","10,4",,"0,2","0,8"
29/01/2014 2.00,"1,5","6,6","2,6","12,9","0,2","0,7"
29/01/2014 3.00,"1,4","20,8","12,1",,"0,2","0,7"
29/01/2014 4.00,"1,6","5,6","2,1","14,4","0,2","0,7"
29/01/2014 5.00,"1,4","8,9","3,3",,"0,2","0,6"
29/01/2014 6.00,"1,5","15,4","5,8","9,5","0,2","0,6"
29/01/2014 7.00,"1,5","14,5","5,6",,"0,2","0,6"
29/01/2014 8.00,"1,6","16,5","7,9","16,8","0,2","0,6"
29/01/2014 9.00,"1,3","17,3","9,1",,"0,3","0,7"
29/01/2014 10.00,"1,8","55,7","31,4","15,1","0,2","0,7"
29/01/2014 11.00,"1,4","46,0","25,2",,"0,2","0,7"
29/01/2014 12.00,"1,3","40,5","21,1","13,2","0,2","0,6"
29/01/2014 13.00,"2,8","35,8","19,7",,"0,2","0,5"
29/01/2014 14.00,"2,6","30,0","16,7","9,3","0,2","0,5"
29/01/2014 15.00,"1,5","35,1","20,6",,"0,2","0,5"
29/01/2014 16.00,"1,3","28,0","17,3","7,3","0,2","0,4"
29/01/2014 17.00,"1,8","44,1","32,3",,"0,2","0,4"
29/01/2014 18.00,"1,8","79,1","60,5","17,3","0,4","0,8"
29/01/2014 19.00,"1,3","40,0","36,4",,"0,3","0,6"
29/01/2014 20.00,"1,3","29,5","26,2","24,7","0,4","0,9"
29/01/2014 21.00,"1,3","39,6","36,0",,"0,5","1,2"
29/01/2014 22.00,"1,3","42,1","38,2","37,4","0,4","1,4"
29/01/2014 23.00,"1,3","31,3","28,0",,"0,3","1,1"
30/01/2014 0.00,"1,3","13,2","9,9","34,4","0,3","1,0"
30/01/2014 1.00,,"28,7","25,4",,"0,6","1,2"
30/01/2014 2.00,"1,7",,,"24,7","0,2","0,8"
30/01/2014 3.00,"1,3","13,0","9,7",,,"0,6"
30/01/2014 4.00,"1,3","12,6","9,3","30,0","0,4","0,5"
30/01/2014 5.00,"1,5","20,4","16,5",,"0,4","0,6"
30/01/2014 6.00,"1,3","15,8","11,2","18,8","0,2","0,8"
30/01/2014 7.00,"1,3","23,1","19,1",,"0,2","0,5"
30/01/2014 8.00,"1,3","25,7","21,9","20,5","0,2","0,6"
30/01/2014 9.00,"1,3","38,1","26,8",,"0,2","0,6"
30/01/2014 10.00,"1,3","33,0","21,6","22,0","0,1","0,9"
30/01/2014 11.00,"1,3","29,1","17,5",,"0,1","0,8"
30/01/2014 12.00,"1,3","25,1","13,3","23,2","0,1","0,6"
30/01/2014 13.00,"1,3","30,4","18,9",,"0,2","0,7"
30/01/2014 14.00,"2,4","29,9","20,7","16,6","0,1","0,5"
30/01/2014 15.00,"1,7","37,2","26,4",,"0,1","0,6"
30/01/2014 16.00,"3,1","42,7","32,0","17,8","0,2","0,6"
30/01/2014 17.00,"3,5","33,1","25,1",,"0,2","0,5"
30/01/2014 18.00,"2,8","20,6","15,2","18,1","0,1","0,4"
30/01/2014 19.00,"2,0","16,2","11,8",,"0,1","0,3"
30/01/2014 20.00,"3,1","15,6","11,4","16,8","0,1","0,3"
30/01/2014 21.00,"3,3","13,0","9,4",,"0,1","0,3"
30/01/2014 22.00,"2,3","9,5","6,1","23,0","0,1","0,3"
30/01/2014 23.00,"2,3","10,2","6,9",,"0,1","0,3"
31/01/2014 0.00,"1,3","8,1","4,8","18,1","0,1","0,3"
31/01/2014 1.00,"1,3","6,7","3,4",,"0,1","0,3"
31/01/2014 2.00,"1,3","7,1","3,8","18,8","0,1","0,3"
31/01/2014 3.00,"1,3","8,6","5,3",,"0,1","0,3"
31/01/2014 4.00,"1,3","6,8","3,5","16,4","0,1","0,3"
31/01/2014 5.00,"1,3","6,5","3,2",,"0,1","0,3"
31/01/2014 6.00,"1,3","10,1","6,4","21,2","0,1","0,3"
31/01/2014 7.00,"1,4","21,0","15,1",,"0,1","0,3"
31/01/2014 8.00,"1,3","21,5","16,4","21,2","0,1","0,3"
31/01/2014 9.00,"1,3","22,6","18,0",,"0,3","0,6"
31/01/2014 10.00,"1,3","23,9","19,0","20,5","0,2","0,7"
31/01/2014 11.00,"1,3","24,0","19,1",,"0,4","0,6"
31/01/2014 12.00,"1,3","20,0","15,2","22,0","0,2","0,7"
31/01/2014 13.00,"1,3","20,5","15,7",,"0,3","0,5"
31/01/2014 14.00,"1,3","20,9","16,3","23,0","0,3","0,6"
31/01/2014 15.00,"2,7","28,1","23,3",,"0,8","1,1"
31/01/2014 16.00,"2,8","23,5","19,4","27,1","0,7","1,1"
31/01/2014 17.00,"3,3","27,1","23,3",,"0,7","1,2"
31/01/2014 18.00,"3,7","28,4","25,0","24,2","0,8","1,4"
31/01/2014 19.00,"3,3","23,1","19,8",,"0,7","1,3"
31/01/2014 20.00,"3,5","26,9","23,4","28,8","0,9","1,3"
31/01/2014 21.00,"3,3","17,7","14,4",,"0,4","1,2"
31/01/2014 22.00,"1,3","11,0","7,7","35,4","0,2","0,7"
31/01/2014 23.00,"1,3","11,8","8,6",,"0,2","0,9"
01/02/2014 0.00,"1,3","11,9","8,7","27,6","0,3","1,0"
01/02/2014 1.00,,"11,0","7,8",,"0,3","0,9"
01/02/2014 2.00,"1,9",,,"32,2","0,7","1,1"
01/02/2014 3.00,"2,1","24,6","20,3",,,"0,9"
01/02/2014 4.00,"4,0","29,3","25,4","28,8","1,0","1,4"
01/02/2014 5.00,"2,5","9,5","6,2",,"0,3","1,5"
01/02/2014 6.00,"1,3","14,6","11,3","34,7","0,5","1,0"
01/02/2014 7.00,"2,2","30,8","26,5",,"0,9","1,5"
01/02/2014 8.00,"2,5","27,2","23,0","34,7","0,6","1,8"
01/02/2014 9.00,"2,7","24,5","20,4",,"0,7","1,5"
01/02/2014 10.00,"3,1","21,8","17,8","29,3","0,8","1,6"
01/02/2014 11.00,"3,6","45,8","37,8",,"0,9","1,7"
01/02/2014 12.00,"4,9","52,7","42,2","30,8","0,7","1,2"
01/02/2014 13.00,"4,6","47,9","38,6",,"0,5","1,2"
01/02/2014 14.00,"3,6","25,9","20,5","17,6","0,6","0,8"
01/02/2014 15.00,"3,0","26,3","21,3",,"0,6","0,8"
01/02/2014 16.00,"3,1","11,7","8,1","19,0","0,2","1,1"
01/02/2014 17.00,"1,3","11,2","7,4",,"0,2","0,6"
01/02/2014 18.00,"1,6","17,2","13,2","20,0","0,2","0,6"
01/02/2014 19.00,"1,3","12,9","9,7",,"0,3","0,8"
01/02/2014 20.00,"2,7","32,3","28,4","20,5","0,7","1,6"
01/02/2014 21.00,"3,9","44,0","38,4",,"0,8","1,6"
01/02/2014 22.00,"2,5","9,3","6,1","19,5","0,4","0,9"
01/02/2014 23.00,"1,3","7,3","4,0",,"0,2","0,8"
02/02/2014 0.00,"1,3","16,9","13,5","17,1","0,5","0,8"
02/02/2014 1.00,"1,3","7,3","4,0",,"0,3","0,8"
02/02/2014 2.00,"1,3","11,0","7,7","9,5","0,4","0,8"
02/02/2014 3.00,"1,3","7,0","3,7",,"0,2","0,7"
02/02/2014 4.00,"1,3","3,6","0,6","6,8","0,2","0,6"
02/02/2014 5.00,"1,3","3,5","0,5",,"0,2","0,6"
02/02/2014 6.00,"1,3","5,2","2,0","11,0","0,3","0,6"
02/02/2014 7.00,"1,3","7,7","4,4",,"0,4","0,7"
02/02/2014 8.00,"1,3","7,7","4,4","15,1","0,4","0,7"
02/02/2014 9.00,"1,3","9,5","6,3",,"0,5","0,7"
02/02/2014 10.00,"1,3","9,6","5,9","14,9","0,3","0,6"
02/02/2014 11.00,"1,3","9,9","6,2",,"0,4","0,6"
02/02/2014 12.00,"2,2","25,2","19,4","8,5","0,4","0,6"
02/02/2014 13.00,"4,1","33,0","26,8",,"0,7","1,1"
02/02/2014 14.00,"4,6","33,4","26,7","9,8","0,4","1,0"
02/02/2014 15.00,"3,3","24,1","19,2",,"0,7","0,6"
02/02/2014 16.00,"3,4","17,0","13,0","11,5","0,5","0,8"
02/02/2014 17.00,"2,4","13,8","10,3",,"0,6","0,7"
