"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","","",""
"Stat","Torchiarolo","","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,PM10,O3,BENZENE
15/01/2011 14.00,"0,9",24,"17,6","0,5","78,6","72,6","3,9"
15/01/2011 15.00,"0,5","21,1","15,6","0,5","78,6","63,9","1,9"
15/01/2011 16.00,"0,6","17,9","12,9","0,5","78,6","55,4",2
15/01/2011 17.00,"0,6","19,2","13,7","0,6","78,6","62,3","2,2"
15/01/2011 18.00,"0,7","21,8","15,9","0,6","78,6","59,1","2,3"
15/01/2011 19.00,"1,1","21,6","15,3","0,5","78,6","49,5","2,5"
15/01/2011 20.00,"0,2","18,6",13,"0,5","78,6","43,8","1,8"
15/01/2011 21.00,"0,1","19,5","13,3","0,4","78,6","45,7","1,6"
15/01/2011 22.00,"0,1","15,8","10,5","0,4","78,6","49,7","1,3"
15/01/2011 23.00,0,"16,7","12,1","0,4","78,6","46,9","1,1"
16/01/2011 0.00,0,"17,8","13,7","0,4","78,6","40,2","1,1"
16/01/2011 1.00,,"19,4","15,4","0,4","29,7",35,1
16/01/2011 2.00,"0,2",,,"0,3","29,7",28,"0,9"
16/01/2011 3.00,"0,2","25,8","22,2",,"29,7","27,1","0,9"
16/01/2011 4.00,"0,3","21,1","17,8","0,3","29,7",,"0,9"
16/01/2011 5.00,"0,1","21,7","18,2","0,3","29,7","25,7","0,9"
16/01/2011 6.00,"0,2","18,1","14,5","0,3","29,7","29,6","0,9"
16/01/2011 7.00,"0,2","18,3","14,7","0,3","29,7","26,9","1,1"
16/01/2011 8.00,"0,2","20,8","16,1","0,3","29,7","23,5","1,1"
16/01/2011 9.00,"0,2","24,6","16,3","0,3","29,7","26,7","1,1"
16/01/2011 10.00,"0,1","15,4","10,4","0,3","29,7","51,8","1,3"
16/01/2011 11.00,"0,2","9,3","6,5","0,2","29,7","73,2","0,8"
16/01/2011 12.00,"0,3",10,"6,9","0,2","29,7","75,9","0,9"
16/01/2011 13.00,"0,1","9,1","6,7","0,2","29,7",81,"0,8"
16/01/2011 14.00,"0,2","9,1","6,9","0,2","29,7",84,"0,9"
16/01/2011 15.00,"0,2","8,5","6,5","0,2","29,7","85,9","0,8"
16/01/2011 16.00,"0,3","11,5","8,7","0,2","29,7",82,"0,7"
16/01/2011 17.00,"0,4","19,5","16,1","0,3","29,7","68,7","1,2"
16/01/2011 18.00,"0,3","19,3","15,5","0,3","29,7",60,"1,3"
16/01/2011 19.00,"0,3","23,7","19,8","0,3","29,7","46,2","1,4"
16/01/2011 20.00,"0,3","27,2","22,1","0,4","29,7","44,6","1,4"
16/01/2011 21.00,"0,4","32,3",23,"0,7","29,7","41,9","3,5"
16/01/2011 22.00,"0,3","18,6","13,8","0,6","29,7","42,3","2,4"
16/01/2011 23.00,0,"22,4","16,8","0,5","29,7","32,1","1,8"
17/01/2011 0.00,"0,1","19,8","15,2","0,5","29,7","25,3","2,1"
17/01/2011 1.00,"0,1","18,4","14,9","0,4","54,6","27,3","1,5"
17/01/2011 2.00,"0,1","15,6","12,6","0,3","54,6",29,"1,2"
17/01/2011 3.00,"0,1","14,6",12,"0,3","54,6","29,2",1
17/01/2011 4.00,"0,1","14,5","12,3","0,3","54,6","27,6","0,9"
17/01/2011 5.00,0,"13,4","11,1","0,3","54,6","30,2","0,9"
17/01/2011 6.00,0,"14,1","11,2","0,3","54,6","23,3","0,8"
17/01/2011 7.00,0,"16,8","12,9","0,3","54,6","26,6","1,1"
17/01/2011 8.00,"0,1","23,8","17,9","0,3","54,6","23,9",1
17/01/2011 9.00,"0,1","35,6","23,2","0,3","54,6","21,4","1,2"
17/01/2011 10.00,"0,1","35,1","20,8","0,3","54,6","27,9","1,1"
17/01/2011 11.00,"0,1","26,7","17,4","0,3","54,6","37,6",1
17/01/2011 12.00,"0,1","25,3",17,"0,3","54,6","42,8",1
17/01/2011 13.00,"0,1","24,8","17,4","0,3","54,6","47,6","1,1"
17/01/2011 14.00,"0,1","32,2","22,8","0,3","54,6","50,9","1,1"
17/01/2011 15.00,"0,1",23,"17,3","0,3","54,6","57,1","1,3"
17/01/2011 16.00,"0,1",,,"0,4","54,6","55,5","1,2"
17/01/2011 17.00,"0,1","24,8","19,6","0,4","54,6","53,7","1,3"
17/01/2011 18.00,"0,3","30,5","23,7","0,6","54,6","37,2","1,8"
17/01/2011 19.00,"0,3","48,6","35,3","0,8","54,6","23,8","2,7"
17/01/2011 20.00,1,"88,2","54,6","1,6","54,6","8,6","8,4"
17/01/2011 21.00,"1,4","76,2","45,7","1,7","54,6","8,7","10,6"
17/01/2011 22.00,1,"64,2","34,9","1,5","54,6","5,7","9,8"
17/01/2011 23.00,"1,4",57,"34,1","1,4","54,6","6,6",8
18/01/2011 0.00,"1,4","44,3","28,2","1,1","54,6",5,"5,8"
18/01/2011 1.00,,"36,1","25,1","1,1","62,1","4,2","4,6"
18/01/2011 2.00,"0,2",,,"1,1","62,1","6,4","3,4"
18/01/2011 3.00,"0,3","30,7","23,1",,"62,1","5,9","13,2"
18/01/2011 4.00,"0,2",26,"18,4","0,5","62,1",,"1,9"
18/01/2011 5.00,"0,2","22,8","16,3","0,5","62,1","9,5","1,6"
18/01/2011 6.00,"0,2",26,"18,1","0,6","62,1","11,5","1,5"
18/01/2011 7.00,"0,4","43,1","26,8","0,8","62,1","7,3","3,8"
18/01/2011 8.00,1,"62,9","28,6",1,"62,1","3,6",4
18/01/2011 9.00,"1,3","81,7","30,4",1,"62,1","3,2","4,6"
18/01/2011 10.00,"1,7","96,9","34,1","1,1","62,1","2,4","5,9"
18/01/2011 11.00,"1,7","93,2","33,2","0,9","62,1","3,1","7,3"
18/01/2011 12.00,"0,7",58,"27,8","0,4","62,1","15,8","3,9"
18/01/2011 13.00,"0,1","25,8","17,9","0,4","62,1","46,7","1,5"
18/01/2011 14.00,"0,1","21,7",16,"0,3","62,1",55,"1,6"
18/01/2011 15.00,"0,3",24,18,"0,3","62,1","52,9","1,2"
18/01/2011 16.00,"0,4","24,1","17,9","0,3","62,1","57,3","1,2"
18/01/2011 17.00,"0,3","21,1","16,4","0,4","62,1","41,3","1,5"
18/01/2011 18.00,"0,4","38,2","28,2","0,8","62,1",22,"2,7"
18/01/2011 19.00,"0,3","57,8","41,2","0,8","62,1","8,3","3,8"
18/01/2011 20.00,"0,6","85,3","53,4","0,8","62,1","2,3","4,1"
18/01/2011 21.00,"0,8","87,5",51,"1,6","62,1","5,3","4,8"
18/01/2011 22.00,"1,1",54,"32,6","1,2","62,1","7,1","7,2"
18/01/2011 23.00,"0,7","48,9","32,1",1,"62,1","8,1","3,5"
19/01/2011 0.00,"0,5","35,2","25,1","0,9","62,1","10,9","3,8"
19/01/2011 1.00,"0,4","34,2","24,5","0,8","71,4","9,6","3,2"
19/01/2011 2.00,"0,3","28,8","20,9","0,9","71,4","11,2","3,5"
19/01/2011 3.00,"0,5","23,3","17,2","0,7","71,4","13,7","3,2"
19/01/2011 4.00,"0,4","18,5","13,2","0,6","71,4","14,1","2,2"
19/01/2011 5.00,"0,2","15,6","10,3","0,4","71,4","17,7","1,5"
19/01/2011 6.00,"0,3","20,3","14,6","0,6","71,4","14,2","1,5"
19/01/2011 7.00,"0,2",30,"19,1","0,6","71,4","9,1",2
19/01/2011 8.00,"0,7","81,5","37,6","0,9","71,4",1,"3,2"
19/01/2011 9.00,"1,2","91,1","39,7","0,9","71,4","3,1","4,2"
19/01/2011 10.00,"0,8","56,1","31,7","0,8","71,4","8,9","5,2"
19/01/2011 11.00,"0,8","73,6","36,7",1,"71,4","11,5","3,9"
19/01/2011 12.00,"0,8","64,7","34,8","1,1","71,4","18,9","5,5"
19/01/2011 13.00,"0,7","40,3","22,1","0,8","71,4","21,4","4,5"
19/01/2011 14.00,"0,4","28,5",17,"0,4","71,4","38,4","2,5"
19/01/2011 15.00,"0,4","19,3","13,6","0,4","71,4","47,7","1,3"
19/01/2011 16.00,"0,3","20,1","15,1","0,4","71,4","50,5","1,3"
19/01/2011 17.00,"0,4","33,6","23,6","0,5","71,4","32,6","1,2"
19/01/2011 18.00,"0,3","35,4","26,3","0,6","71,4","29,4","2,4"
19/01/2011 19.00,"0,4",44,30,"0,6","71,4","20,9","2,1"
19/01/2011 20.00,"0,5","77,5",49,"1,1","71,4","12,7","3,3"
19/01/2011 21.00,"0,6","95,7","59,2","1,3","71,4","6,4","5,3"
19/01/2011 22.00,"1,3","120,9","58,8","1,5","71,4","2,5",6
19/01/2011 23.00,"0,5","105,9","53,6","1,5","71,4","2,4","6,5"
20/01/2011 0.00,"0,2","70,9","44,2","1,2","71,4","1,9","5,1"
20/01/2011 1.00,,"51,3","34,4","0,9","70,8","4,7","4,3"
20/01/2011 2.00,"0,3",,,"0,7","70,8","12,7","3,2"
20/01/2011 3.00,"0,3",38,"28,3",,"70,8","16,7","2,5"
20/01/2011 4.00,"0,3","31,8","22,4","0,6","70,8",,"2,7"
20/01/2011 5.00,"0,3",30,"21,9","0,6","70,8",21,"2,9"
20/01/2011 6.00,"0,3","35,8","25,9","0,7","70,8","19,7","1,7"
20/01/2011 7.00,"0,6","59,7","43,9","0,9","70,8","12,2",3
20/01/2011 8.00,"0,9",88,"59,2",1,"70,8","5,1","3,1"
20/01/2011 9.00,"0,9","97,3","61,7","0,8","70,8","10,2","2,7"
20/01/2011 10.00,"1,1","109,4","65,4","0,9","70,8",9,"3,1"
20/01/2011 11.00,"1,2","90,1",53,"0,8","70,8","16,6","4,5"
20/01/2011 12.00,"0,8","55,8","36,5","0,7","70,8","33,3","3,1"
20/01/2011 13.00,"0,6","43,4","31,8","0,6","70,8","48,7","2,5"
20/01/2011 14.00,"0,6","39,4","28,4","0,8","70,8",52,"3,7"
20/01/2011 15.00,"0,4",31,"21,7","0,7","70,8","50,1","4,1"
20/01/2011 16.00,"0,9","46,4","32,5","0,9","70,8","42,5","3,9"
20/01/2011 17.00,1,"65,8","46,7","1,1","70,8",22,"4,8"
20/01/2011 18.00,"1,4","91,4","61,2","1,3","70,8","10,2","6,6"
20/01/2011 19.00,"1,3","76,5","53,3","1,4","70,8","8,9","7,1"
20/01/2011 20.00,"1,4","105,7",62,"1,2","70,8","3,8","6,5"
20/01/2011 21.00,"1,1","101,3","58,4",1,"70,8","3,5","5,3"
20/01/2011 22.00,"1,3","91,1","56,1","1,2","70,8","2,2","4,4"
20/01/2011 23.00,"0,3","75,3","46,8","1,2","70,8","2,5","4,8"
21/01/2011 0.00,"0,2","55,1",36,1,"70,8","2,3","4,1"
21/01/2011 1.00,"0,3","42,9","29,4","0,9","44,8","1,8","3,6"
21/01/2011 2.00,"0,3","41,1","26,7","0,8","44,8","1,9","3,2"
21/01/2011 3.00,"0,3","25,2",16,"0,6","44,8","3,1","2,6"
21/01/2011 4.00,"0,3","19,7","12,2","0,6","44,8","1,4","2,4"
21/01/2011 5.00,"0,2",33,19,"0,7","44,8",,"3,3"
21/01/2011 6.00,"0,3","50,6","22,1","0,6","44,8",,"2,5"
21/01/2011 7.00,"0,6","79,7","35,9","0,7","44,8",,"2,4"
21/01/2011 8.00,"0,3","37,6","23,7","0,6","44,8","4,7","2,4"
21/01/2011 9.00,"0,3","36,7","23,2","0,5","44,8","8,1",2
21/01/2011 10.00,"0,7","44,5","25,5","0,7","44,8","5,3","2,2"
21/01/2011 11.00,"0,4","48,8","25,5","0,4","44,8","10,2","2,7"
21/01/2011 12.00,"0,3",28,"17,2","0,4","44,8","28,2","1,6"
21/01/2011 13.00,"0,2","25,7","17,8","0,5","44,8","37,7","1,5"
21/01/2011 14.00,"0,2","37,8","25,5","0,4","44,8","33,9","1,7"
21/01/2011 15.00,"0,2","23,1","16,5","0,4","44,8","30,5","1,4"
21/01/2011 16.00,"0,2","21,5","16,5","0,4","44,8","34,9","1,8"
21/01/2011 17.00,"0,3","31,6","22,6","0,5","44,8","28,6","1,9"
21/01/2011 18.00,"0,2","27,4","19,9","0,5","44,8","25,9","1,8"
21/01/2011 19.00,"0,3","23,5","17,4","0,4","44,8","33,2","2,5"
21/01/2011 20.00,"0,3","26,2","18,6","0,4","44,8","39,7","1,8"
21/01/2011 21.00,"0,3","22,2",16,"0,4","44,8","43,6","1,7"
21/01/2011 22.00,"0,3","28,6","22,1","0,5","44,8","29,4","1,4"
21/01/2011 23.00,"0,5","29,9","22,5","0,5","44,8",20,"1,7"
22/01/2011 0.00,"0,4","24,2","18,2","0,4","44,8","19,4","1,5"
22/01/2011 1.00,,"23,2","19,4","0,4","36,3","17,3","1,3"
22/01/2011 2.00,"0,2",,,"0,3","36,3","19,8","1,4"
22/01/2011 3.00,"0,2","23,4","20,3",,"36,3","23,6","1,3"
22/01/2011 4.00,"0,2","16,1","13,1","0,4","36,3",,"1,2"
22/01/2011 5.00,"0,2","14,1","11,5","0,4","36,3","21,5","1,1"
22/01/2011 6.00,"0,2","14,2","11,3","0,4","36,3","14,3","1,1"
22/01/2011 7.00,"0,4",35,"23,9","0,6","36,3","4,7","2,4"
22/01/2011 8.00,"0,8","57,6","30,3","0,6","36,3","1,7","2,5"
22/01/2011 9.00,"0,7",49,26,"0,6","36,3","4,3","2,1"
22/01/2011 10.00,"0,9","61,5","28,6","0,6","36,3","7,6","3,1"
22/01/2011 11.00,"0,6","27,8","17,3","0,4","36,3","35,4","2,6"
22/01/2011 12.00,"0,5","34,7","21,6","0,4","36,3","52,6","1,8"
22/01/2011 13.00,"0,7","34,9","23,5","0,4","36,3","62,9","1,4"
22/01/2011 14.00,1,"31,1","23,1","0,5","36,3","63,2","1,7"
22/01/2011 15.00,"0,4","24,1","18,2","0,5","36,3","59,8","1,9"
22/01/2011 16.00,"0,5","27,7","21,1","0,6","36,3","57,7","1,8"
22/01/2011 17.00,"0,7","49,5","33,9","0,9","36,3","35,2","2,6"
22/01/2011 18.00,2,81,"48,2","1,5","36,3","9,8","5,3"
22/01/2011 19.00,"2,5","125,2","52,4","1,9","36,3","4,6","6,2"
22/01/2011 20.00,"2,3","95,3",51,"1,4","36,3","20,9","9,7"
22/01/2011 21.00,"1,5",95,"54,9","1,2","36,3","16,3","4,8"
22/01/2011 22.00,"0,9","55,4","36,8","0,8","36,3","23,1","4,7"
22/01/2011 23.00,"0,3","45,2","34,1","0,8","36,3","29,5","2,8"
23/01/2011 0.00,"0,2","28,5","19,8","0,5","36,3","27,9","2,7"
23/01/2011 1.00,"0,2",34,"25,6","0,6","31,5","17,5","1,9"
23/01/2011 2.00,"0,2","14,4","9,9","0,4","31,5","59,1","1,6"
23/01/2011 3.00,"0,1","14,9","10,8","0,5","31,5","47,2","1,2"
23/01/2011 4.00,"0,1","16,5","12,9","0,5","31,5","36,6",1
23/01/2011 5.00,"0,2","14,7",11,"0,5","31,5","28,7","1,2"
23/01/2011 6.00,"0,1","15,3","10,6","0,5","31,5","32,3","1,1"
23/01/2011 7.00,"0,1","20,8","14,2","0,5","31,5","37,7",2
23/01/2011 8.00,"0,1","18,6","12,5","0,6","31,5","43,8","2,1"
23/01/2011 9.00,"0,1","26,2","18,7","0,7","31,5",41,"2,4"
23/01/2011 10.00,"0,1","20,3","13,4","0,6","31,5","43,8","2,9"
23/01/2011 11.00,"0,2","17,6",12,"0,6","31,5","49,1","2,7"
23/01/2011 12.00,"0,3","18,8","12,3","0,6","31,5","50,8","2,3"
23/01/2011 13.00,"0,3",22,"14,5","0,7","31,5","54,8","3,3"
23/01/2011 14.00,"0,5","31,6","17,9","0,7","31,5","54,2","3,4"
23/01/2011 15.00,"0,1","10,4","7,7","0,4","31,5","63,2","2,3"
23/01/2011 16.00,"0,1","14,9","11,1","0,5","31,5",57,"1,6"
23/01/2011 17.00,"0,1","21,8","15,8","0,6","31,5","45,1","1,8"
23/01/2011 18.00,"0,2","39,2","24,7","0,7","31,5","26,2","2,3"
23/01/2011 19.00,"0,1","34,9","25,3","0,8","31,5","24,4",3
23/01/2011 20.00,"0,2","44,2","30,1",1,"31,5",21,4
23/01/2011 21.00,"0,4","70,2","43,5","1,4","31,5",8,"6,2"
23/01/2011 22.00,"0,3","52,1","30,7","1,1","31,5","11,1","5,8"
23/01/2011 23.00,"0,9","42,9","26,6",1,"31,5","14,1","4,7"
24/01/2011 0.00,"1,3","32,3",20,1,"31,5","20,1","4,1"
24/01/2011 1.00,,"19,8","11,7","0,7","37,3","30,2",3
24/01/2011 2.00,"0,1",,,"0,6","37,3","29,6",2
24/01/2011 3.00,"0,1",24,"20,5",,"37,3","24,7","1,7"
24/01/2011 4.00,0,"17,9","14,4","0,5","37,3",,"1,6"
24/01/2011 5.00,0,"17,6","14,1","0,4","37,3",14,"1,5"
24/01/2011 6.00,0,"32,5","24,7","0,5","37,3","7,6","1,6"
24/01/2011 7.00,"0,2","54,2","31,6","0,8","37,3","4,8","3,4"
24/01/2011 8.00,"0,4","67,4","32,3","1,1","37,3","2,2","2,7"
24/01/2011 9.00,"0,7","87,2","37,8","0,8","37,3","5,3","3,9"
24/01/2011 10.00,"0,3","58,3","29,3","0,5","37,3","24,9","4,3"
24/01/2011 11.00,"0,1","23,8","15,8","0,4","37,3","45,3","2,1"
24/01/2011 12.00,"0,1","17,9","12,5","0,4","37,3","59,9","1,6"
24/01/2011 13.00,"0,1","18,6","13,3","0,5","37,3","65,2","1,5"
24/01/2011 14.00,"0,1","17,5",13,"0,5","37,3",65,"2,4"
24/01/2011 15.00,"0,1","18,9","14,6","0,4","37,3",66,"1,9"
24/01/2011 16.00,"0,1","20,9","15,3","0,5","37,3","65,5","1,7"
24/01/2011 17.00,0,"25,7","19,3","0,8","37,3","57,4","2,3"
24/01/2011 18.00,"0,2","42,5","29,1","0,9","37,3","53,7","6,3"
24/01/2011 19.00,"0,4","50,8","33,8","0,8","37,3","48,7","4,8"
24/01/2011 20.00,"0,3","31,3","22,3","0,7","37,3","49,8","3,3"
24/01/2011 21.00,"0,1","26,4","18,6","0,6","37,3","44,4","2,7"
24/01/2011 22.00,"0,1","33,2","23,1","0,8","37,3","39,8","2,8"
24/01/2011 23.00,"0,9","45,8","25,9","0,8","37,3",32,"2,5"
25/01/2011 0.00,"0,7","17,7","12,1","0,6","37,3","53,7","2,6"
25/01/2011 1.00,"0,7","12,8","9,4","0,5","58,5","45,5","1,6"
25/01/2011 2.00,"0,5","11,5","8,6","0,4","58,5","48,2","1,3"
25/01/2011 3.00,"0,4","6,3","4,2","0,3","58,5","69,2","0,7"
25/01/2011 4.00,"0,4","6,8","5,3","0,3","58,5","56,5","0,7"
25/01/2011 5.00,"0,2","7,6","5,7","0,3","58,5","63,6","0,7"
25/01/2011 6.00,"0,4","9,2","7,1","0,3","58,5",62,"0,7"
25/01/2011 7.00,"0,2","16,6","13,5","0,3","58,5","63,1","0,8"
25/01/2011 8.00,"0,1","23,5","16,2","0,4","58,5","61,9","0,9"
25/01/2011 9.00,"0,4","30,8","22,3","0,4","58,5","55,8","1,3"
25/01/2011 10.00,"1,2","13,1","9,6","0,4","58,5",72,"1,3"
25/01/2011 11.00,"1,6","11,5","7,9","0,4","58,5","77,3","1,1"
25/01/2011 12.00,"1,9","10,7","7,3","0,4","58,5","82,8",1
25/01/2011 13.00,"4,2","17,6","12,9","0,4","58,5","76,3",1
25/01/2011 14.00,"4,5","17,4",13,"0,4","58,5","81,7","1,2"
25/01/2011 15.00,"2,7","10,8","7,9","0,4","58,5","88,7","1,1"
25/01/2011 16.00,"3,7","15,1","11,3","0,5","58,5","84,5","1,1"
25/01/2011 17.00,"1,6","16,2","12,3","0,5","58,5","78,9","1,4"
25/01/2011 18.00,"0,8","57,4","43,3","0,9","58,5","41,2","1,8"
25/01/2011 19.00,"1,2","76,3","54,9","1,3","58,5","36,3","3,8"
25/01/2011 20.00,"2,9",123,"67,2","2,5","58,5",27,"10,7"
25/01/2011 21.00,"3,6","141,9","62,7","2,8","58,5","11,2","17,4"
25/01/2011 22.00,"2,6","131,1","58,4","2,4","58,5",,"13,9"
25/01/2011 23.00,"1,4","122,5","59,5","2,1","58,5",,"12,2"
26/01/2011 0.00,"0,6","81,2","39,7","1,4","58,5",,"9,4"
26/01/2011 1.00,,"50,3","23,9",1,"56,4",,"4,5"
26/01/2011 2.00,"0,3",,,1,"56,4",,"3,5"
26/01/2011 3.00,"0,4","37,8","22,8",,"56,4","2,7","2,9"
26/01/2011 4.00,"0,2","28,8","16,3","0,6","56,4",,2
26/01/2011 5.00,"0,1","27,7",17,"0,6","56,4","10,3","2,1"
26/01/2011 6.00,"0,2","41,2","26,7","0,7","56,4","14,6","1,9"
26/01/2011 7.00,"0,2","69,2","43,6",1,"56,4","9,1",3
26/01/2011 8.00,"1,6","173,4","75,1","1,2","56,4","1,5",4
26/01/2011 9.00,"3,6",241,"86,7","1,7","56,4","3,9","6,1"
26/01/2011 10.00,"3,4","167,8","71,7","1,4","56,4","3,9","9,6"
26/01/2011 11.00,"2,2","48,9","28,3","0,6","56,4","29,4","4,2"
26/01/2011 12.00,"1,4",43,"26,5","0,6","56,4","44,4","1,9"
26/01/2011 13.00,"1,6","38,4","25,8","0,7","56,4","51,1","2,5"
26/01/2011 14.00,"1,2","35,5","24,4","0,7","56,4","64,4","2,9"
26/01/2011 15.00,"0,9","27,5","19,3","0,6","56,4","62,2","3,6"
26/01/2011 16.00,"0,6","39,7","28,5","0,7","56,4","55,9","2,9"
26/01/2011 17.00,"0,9",58,"42,1","0,9","56,4","41,5","3,9"
26/01/2011 18.00,1,"86,2",58,"1,1","56,4","22,7","5,6"
26/01/2011 19.00,"1,1","97,6","61,5","1,1","56,4","12,8","4,3"
26/01/2011 20.00,"1,1","82,7",56,1,"56,4","13,2","5,1"
26/01/2011 21.00,"0,9","70,2",46,"0,9","56,4","16,8","4,1"
26/01/2011 22.00,"0,5",47,"32,8","0,6","56,4","41,1","3,2"
26/01/2011 23.00,"0,2","25,1","17,7","0,5","56,4","55,8","1,7"
27/01/2011 0.00,0,"18,2","12,8","0,4","56,4","65,1","1,4"
27/01/2011 1.00,0,"12,8","9,2","0,4","15,2","71,8",1
27/01/2011 2.00,0,"11,2","8,2","0,3","15,2","68,1","0,7"
27/01/2011 3.00,0,"8,7","6,3","0,3","15,2","66,8","0,7"
27/01/2011 4.00,0,"6,4","4,5","0,3","15,2","78,8","0,6"
27/01/2011 5.00,"0,1","6,5","4,6","0,3","15,2","76,5","2,2"
27/01/2011 6.00,0,"7,7","5,4","0,3","15,2","68,5","0,5"
27/01/2011 7.00,"0,1","11,8","8,9","0,3","15,2","55,4","0,6"
27/01/2011 8.00,"0,1","44,6","33,9","0,5","15,2","28,2","0,8"
27/01/2011 9.00,"0,1","56,6","39,5","0,6","15,2","33,2","2,2"
27/01/2011 10.00,"0,2","27,5","18,8","0,4","15,2","53,6","1,2"
27/01/2011 11.00,"0,3","36,7","24,4","0,6","15,2","43,7","1,2"
27/01/2011 12.00,"0,3","67,6","43,8","0,6","15,2",33,"2,6"
27/01/2011 13.00,"0,2","37,4",25,"0,5","15,2","61,1",2
27/01/2011 14.00,"0,1","28,9","20,7","0,4","15,2","72,8","1,7"
27/01/2011 15.00,"0,1","24,5",19,"0,5","15,2","69,7","1,6"
27/01/2011 16.00,"0,1",26,"19,8","0,4","15,2","69,7","1,7"
27/01/2011 17.00,"0,1",23,"16,9","0,5","15,2","67,2","1,9"
27/01/2011 18.00,"0,1","21,4","15,5","0,4","15,2",61,"1,5"
27/01/2011 19.00,"0,1","16,3","11,8","0,4","15,2","65,6","1,5"
27/01/2011 20.00,"0,1","15,7","10,9","0,3","15,2","71,7","1,3"
27/01/2011 21.00,"0,1","16,2","11,7","0,3","15,2","71,4","1,2"
27/01/2011 22.00,"0,1","13,4","9,7","0,3","15,2","71,2",1
27/01/2011 23.00,"0,7","10,4","7,1","0,2","15,2","75,2","0,8"
28/01/2011 0.00,"0,8","7,7","5,7","0,2","15,2","80,3","0,7"
28/01/2011 1.00,,"6,6",5,"0,2","11,1","77,3","0,6"
28/01/2011 2.00,"0,3",,,"0,2","11,1","76,9","0,5"
28/01/2011 3.00,"0,4","14,1","12,9",,"11,1","81,9","0,4"
28/01/2011 4.00,"0,2","8,8","7,8","0,1","11,1",,"0,4"
28/01/2011 5.00,"0,1","6,4","5,3","0,1","11,1","80,5","0,4"
28/01/2011 6.00,"0,2","6,2",5,"0,1","11,1","80,1","0,4"
28/01/2011 7.00,"0,2","6,2","5,2","0,2","11,1","81,8","0,6"
28/01/2011 8.00,"0,2","9,7","7,4","0,2","11,1","79,3","0,6"
28/01/2011 9.00,"0,3",11,8,"0,3","11,1","74,2","0,7"
28/01/2011 10.00,"0,6",14,"9,9","0,3","11,1","67,3",1
28/01/2011 11.00,"0,4","12,2","8,9","0,3","11,1","68,6","1,1"
28/01/2011 12.00,"0,3","11,1","8,3","0,3","11,1","71,1","1,2"
28/01/2011 13.00,"0,3","23,5","16,9","0,3","11,1","63,3",
28/01/2011 14.00,"0,4","12,6","9,1","0,2","11,1","66,5",
28/01/2011 15.00,"0,4","11,6","8,4","0,2","11,1","68,1",
28/01/2011 16.00,"0,2","12,3",9,"0,2","11,1","69,8",
28/01/2011 17.00,"0,2","10,7","7,9","0,2","11,1","66,9",
28/01/2011 18.00,"0,2","13,3","10,2","0,2","11,1","65,1",
28/01/2011 19.00,"0,3","12,4","9,5","0,3","11,1","65,8",
28/01/2011 20.00,"0,4","14,5","10,6","0,3","11,1","67,3",
28/01/2011 21.00,"0,5","15,8",12,"0,3","11,1","63,8",
28/01/2011 22.00,"0,2",14,"10,2","0,3","11,1","67,9",
28/01/2011 23.00,"0,1","11,7","8,7","0,2","11,1","72,4",
29/01/2011 0.00,0,"8,7","6,5","0,2","11,1","76,4",
29/01/2011 1.00,0,"8,8","6,7","0,2",9,"77,7",
29/01/2011 2.00,0,"9,2","7,1","0,2",9,"76,1",
29/01/2011 3.00,0,"7,7","5,8","0,1",9,"79,7",
29/01/2011 4.00,0,"7,7","5,9","0,2",9,"80,5",
29/01/2011 5.00,0,"8,8","6,5","0,1",9,74,
29/01/2011 6.00,"0,1","11,5","9,1","0,2",9,"56,9",
29/01/2011 7.00,0,"18,4","13,6","0,2",9,61,
29/01/2011 8.00,0,"12,6","9,8","0,2",9,66,
29/01/2011 9.00,"0,1","10,3","7,9","0,2",9,"75,8",
29/01/2011 10.00,0,"8,9","6,5","0,2",9,"77,8",
29/01/2011 11.00,0,"11,3","7,9","0,2",9,"75,2",
29/01/2011 12.00,"0,1","13,7","9,8","0,2",9,"74,9",
29/01/2011 13.00,"0,1","10,4","7,6","0,2",9,"73,3",
29/01/2011 14.00,0,"10,6","8,3","0,2",9,66,
29/01/2011 15.00,"0,1","11,8","8,6","0,2",9,"58,7",
29/01/2011 16.00,"0,1","16,4","12,5","0,3",9,"51,4",
29/01/2011 17.00,"0,2","40,3","26,3","0,5",9,"32,1",
29/01/2011 18.00,"0,3","36,8","25,5","0,6",9,"18,5",
29/01/2011 19.00,"0,5","42,4","24,8","0,6",9,"20,2",
29/01/2011 20.00,"0,2","49,8","28,4","0,7",9,"11,6",
29/01/2011 21.00,"0,2","18,4","12,9","0,3",9,"42,4",
29/01/2011 22.00,"0,2","16,6",12,"0,3",9,"40,2",
29/01/2011 23.00,"0,1","21,2","15,9","0,6",9,29,
30/01/2011 0.00,"0,3",66,43,"1,2",9,3,
30/01/2011 1.00,,"42,8","28,3","0,6","33,5","3,4",
30/01/2011 2.00,"0,1",,,"0,4","33,5","25,4",
30/01/2011 3.00,"0,1","20,5",17,,"33,5","27,2",
30/01/2011 4.00,"0,1","12,1",9,"0,3","33,5",,
30/01/2011 5.00,"0,1","8,2",6,"0,2","33,5","30,5",
30/01/2011 6.00,"0,1","9,1","6,7","0,3","33,5","28,5",
30/01/2011 7.00,"0,1","21,6","13,1","0,4","33,5",33,
