"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","",""
"Stat","Via Taranto","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,O3,BENZENE,PM10
16/01/2011 9.00,"0,2","21,1","16,1","0,4","33,3","1,3","26,9"
16/01/2011 10.00,"0,2","15,2","11,5","0,4","56,4","1,4","26,9"
16/01/2011 11.00,"0,2","11,2","8,6","0,3","66,2","1,6","26,9"
16/01/2011 12.00,"0,2","14,2","10,1","0,3","66,8","1,4","26,9"
16/01/2011 13.00,"0,2","14,9","10,6","0,3","68,8","0,9","26,9"
16/01/2011 14.00,"0,3","15,1","10,7","0,3","69,5",1,"26,9"
16/01/2011 15.00,"0,2","11,2",9,"0,3","68,7",1,"26,9"
16/01/2011 16.00,"0,3","15,1","11,7","0,4","60,5","1,1","26,9"
16/01/2011 17.00,"0,2","17,8",14,"0,4","54,9",1,"26,9"
16/01/2011 18.00,"0,2","19,4","15,2","0,5","52,9","1,6","26,9"
16/01/2011 19.00,"0,3","24,4","18,1","0,5","47,9",2,"26,9"
16/01/2011 20.00,"0,2","27,1","20,3","0,6","46,1","1,9","26,9"
16/01/2011 21.00,"0,2",29,"22,2","0,6","45,9","2,1","26,9"
16/01/2011 22.00,"0,2",27,"21,8","0,6","41,6",2,"26,9"
16/01/2011 23.00,"0,2","25,8","20,9","0,6",32,"2,3","26,9"
17/01/2011 0.00,"0,3","19,4","16,2","0,5","33,1","1,8","26,9"
17/01/2011 1.00,"0,2","17,6","15,2","0,5","31,6","1,5","37,4"
17/01/2011 2.00,"0,2","15,8","13,8","0,5","32,3","0,9","37,4"
17/01/2011 3.00,"0,2","14,3","13,3","0,4","31,2","1,3","37,4"
17/01/2011 4.00,"0,2","12,9",12,"0,4","32,1","1,3","37,4"
17/01/2011 5.00,"0,3","12,8","11,1","0,4","31,9","0,8","37,4"
17/01/2011 6.00,"0,3","12,6","10,9","0,4","32,3","1,2","37,4"
17/01/2011 7.00,"0,2","19,6","15,7","0,4","26,9","1,1","37,4"
17/01/2011 8.00,"0,2","58,8","32,5","0,5","19,1","1,4","37,4"
17/01/2011 9.00,"0,2","43,8","26,4","0,5","22,4","1,7","37,4"
17/01/2011 10.00,"0,3","38,2","23,7","0,5",28,"1,7","37,4"
17/01/2011 11.00,"0,2","28,4","18,3","0,4","33,5","1,7","37,4"
17/01/2011 12.00,"0,3","30,3","20,2","0,5","38,7","1,7","37,4"
17/01/2011 13.00,"0,3","36,3","23,3","0,5","43,5","1,1","37,4"
17/01/2011 14.00,"0,3",33,"20,8","0,5","45,5","0,4","37,4"
17/01/2011 15.00,"0,2",26,19,"0,5","46,6","1,1","37,4"
17/01/2011 16.00,"0,2","28,3","22,1","0,5",45,"0,4","37,4"
17/01/2011 17.00,"0,2","40,3","31,8","0,5","37,6","1,3","37,4"
17/01/2011 18.00,"0,2","50,2",38,"0,7","31,6","2,1","37,4"
17/01/2011 19.00,"0,2","56,7","43,4","0,6","31,2",2,"37,4"
17/01/2011 20.00,"0,2","71,4","50,3","0,7","23,7","2,7","37,4"
17/01/2011 21.00,"0,3","77,1","54,7","0,8","15,3","4,4","37,4"
17/01/2011 22.00,"0,3","77,4","55,2","0,9","13,6","3,7","37,4"
17/01/2011 23.00,"0,2","60,6","46,8","0,8","15,9","3,6","37,4"
18/01/2011 0.00,"0,2","32,3","25,9","0,7","24,9","2,6","37,4"
18/01/2011 1.00,,"35,8","27,3","0,7","16,2","2,4","45,9"
18/01/2011 2.00,"0,2",,,"0,6","23,6","2,5","45,9"
18/01/2011 3.00,"0,2","25,4","23,3",,"19,3","2,2","45,9"
18/01/2011 4.00,"0,2","31,3","26,5","0,5",,"2,2","45,9"
18/01/2011 5.00,"0,2","19,9","17,9","0,5","23,9","2,2","45,9"
18/01/2011 6.00,"0,2","24,7","20,8","0,4","25,5","2,1","45,9"
18/01/2011 7.00,"0,8","115,1","45,9","0,8","1,8",2,"45,9"
18/01/2011 8.00,2,"185,2","58,7",1,"0,6","3,4","45,9"
18/01/2011 9.00,5,"290,2",75,"1,6","1,8","4,3","45,9"
18/01/2011 10.00,"4,4","272,2","78,4","1,5","3,7","6,2","45,9"
18/01/2011 11.00,"0,6",100,"48,4","0,8","14,3",6,"45,9"
18/01/2011 12.00,"0,3","58,1","35,8","0,6","31,6","2,6","45,9"
18/01/2011 13.00,"0,3","37,9","25,8","0,5","41,7","2,7","45,9"
18/01/2011 14.00,"0,2","56,8","35,7","0,5","39,5","0,8","45,9"
18/01/2011 15.00,"0,2","38,1","28,7","0,5","40,9","2,6","45,9"
18/01/2011 16.00,"0,3","38,8","28,4","0,5","39,8","2,1","45,9"
18/01/2011 17.00,"0,2","54,7","39,1","0,6","32,4",2,"45,9"
18/01/2011 18.00,"0,2","42,2","33,7","0,6","31,9","1,4","45,9"
18/01/2011 19.00,"0,2","50,6","39,3","0,6",26,"1,8","45,9"
18/01/2011 20.00,"0,2","85,5","60,1","0,7","12,7","1,7","45,9"
18/01/2011 21.00,"0,2","82,6","58,5","0,6",14,"1,6","45,9"
18/01/2011 22.00,"0,2",69,"54,2","0,6","16,6","2,7","45,9"
18/01/2011 23.00,"0,2",41,"33,3","0,4","29,2","1,5","45,9"
19/01/2011 0.00,"0,2","43,3",30,"0,4","34,9","1,3","45,9"
19/01/2011 1.00,"1,1","18,7","16,4","0,4","40,1",1,"40,3"
19/01/2011 2.00,"0,2","22,2","19,8","0,4","31,7",1,"40,3"
19/01/2011 3.00,"0,2","17,4","15,8","0,4","33,2",1,"40,3"
19/01/2011 4.00,"0,2","13,7","12,4","0,4","33,7","1,4","40,3"
19/01/2011 5.00,"0,2","13,5","11,4","0,4","34,9","1,4","40,3"
19/01/2011 6.00,"0,3","14,3","12,9","0,4","35,4","1,5","40,3"
19/01/2011 7.00,"0,2","33,8","28,1","0,5","21,9","1,5","40,3"
19/01/2011 8.00,"0,2","77,2","46,9","0,6","12,5","1,7","40,3"
19/01/2011 9.00,"0,2","78,6","47,9","0,7","9,3","1,2","40,3"
19/01/2011 10.00,"0,2","67,5","43,2","0,7",16,"3,1","40,3"
19/01/2011 11.00,"0,2","66,5",45,"0,7","22,6","1,9","40,3"
19/01/2011 12.00,"0,2","96,7","58,9","0,7","17,9",3,"40,3"
19/01/2011 13.00,"0,2","68,9","48,7","0,6","24,6","1,5","40,3"
19/01/2011 14.00,"0,2","60,4",42,"0,4","32,2","1,5","40,3"
19/01/2011 15.00,"0,3","41,6","31,9","0,4","45,7","1,3","40,3"
19/01/2011 16.00,"0,2","52,2","38,8","0,5","41,3","0,4","40,3"
19/01/2011 17.00,"0,2","48,1","39,1","0,4","39,7","1,4","40,3"
19/01/2011 18.00,"0,2","86,8",62,"0,6","19,1","1,8","40,3"
19/01/2011 19.00,"0,3","89,2","63,7","0,6","17,3","0,5","40,3"
19/01/2011 20.00,"0,2","88,1","61,2","0,7","15,2","1,2","40,3"
19/01/2011 21.00,"0,2","103,4","71,8","0,7",9,"1,7","40,3"
19/01/2011 22.00,"0,2","60,7","48,2","0,7","14,1","2,1","40,3"
19/01/2011 23.00,"0,2","57,5","43,7","0,7","13,6","1,7","40,3"
20/01/2011 0.00,"0,2",31,"27,4","0,7","24,3",3,"40,3"
20/01/2011 1.00,,"26,2","23,4","0,7","23,9","2,2","49,5"
20/01/2011 2.00,"0,2",,,"0,6","28,6","3,6","49,5"
20/01/2011 3.00,"0,2","21,8","19,9",,"38,5",3,"49,5"
20/01/2011 4.00,"0,2","16,5",15,"0,6",,"2,3","49,5"
20/01/2011 5.00,"0,2","20,5",19,"0,6","27,5","1,5","49,5"
20/01/2011 6.00,"0,2","20,9","18,6","0,5","31,7","2,5","49,5"
20/01/2011 7.00,"0,2","33,8","29,2","0,5","21,8","2,4","49,5"
20/01/2011 8.00,"0,2","70,7","51,2","0,6","13,6","2,4","49,5"
20/01/2011 9.00,"0,2","85,5","57,4","0,5","19,5","2,6","49,5"
20/01/2011 10.00,"0,2","71,8","51,6","0,6","21,1","1,4","49,5"
20/01/2011 11.00,"0,2",57,"41,3","0,6","34,8","2,9","49,5"
20/01/2011 12.00,"0,2","46,6","34,4","0,5",45,"2,9","49,5"
20/01/2011 13.00,"0,2","33,7","26,7","0,4",51,"2,1","49,5"
20/01/2011 14.00,"0,2","44,7","34,7","0,4","45,5","1,5","49,5"
20/01/2011 15.00,"0,2","35,9","28,5","0,6","48,5","1,7","49,5"
20/01/2011 16.00,"0,2","41,8","33,7","0,4","42,3","0,7","49,5"
20/01/2011 17.00,"0,2","53,8","41,7","0,4","34,1","0,6","49,5"
20/01/2011 18.00,"0,2","63,8","51,3","0,5",24,"1,4","49,5"
20/01/2011 19.00,"0,2","73,1","54,9","0,6","20,2","2,4","49,5"
20/01/2011 20.00,"0,2","74,5","53,2","0,7",15,"3,7","49,5"
20/01/2011 21.00,"0,2","83,7","57,6","0,7","9,8","3,1","49,5"
20/01/2011 22.00,"0,2",67,"49,8","0,7","10,5","3,8","49,5"
20/01/2011 23.00,"0,3","88,4","57,4","0,8","4,8","4,1","49,5"
21/01/2011 0.00,"0,2","61,9",47,"0,7","4,4",4,"49,5"
21/01/2011 1.00,,"50,5","37,6","0,7","5,5","3,1",21
21/01/2011 2.00,,"32,3","25,9","0,7","10,2","3,5",21
21/01/2011 3.00,,"20,6","18,3","0,6","19,9",3,21
21/01/2011 4.00,,"16,6",15,"0,6","19,6","2,3",21
21/01/2011 5.00,,"35,2","23,9","0,6","8,3","2,3",21
21/01/2011 6.00,,"23,7",20,"0,5","13,4","2,3",21
21/01/2011 7.00,,"30,8","24,4","0,5","12,4","1,9",21
21/01/2011 8.00,,"76,4","38,8","0,7","3,8","2,1",21
21/01/2011 9.00,,"119,2","47,6",1,"3,5","16,6",21
21/01/2011 10.00,,"93,6","43,9","0,7",6,,21
21/01/2011 11.00,,"64,4","35,2","0,5","12,6",,21
21/01/2011 12.00,,"57,5","33,5","0,2","17,7",,21
21/01/2011 13.00,,"53,3","33,2",,"27,3",,21
21/01/2011 14.00,,"41,9",29,,"30,2",,21
21/01/2011 15.00,,"41,5","29,8",,"28,7",,21
21/01/2011 16.00,,"36,4","27,6",,"30,6",,21
21/01/2011 17.00,,"42,3","31,5",,"29,1",,21
21/01/2011 18.00,,"48,5","35,5",,"31,1",,21
21/01/2011 19.00,,"45,3","33,1",,"34,3",,21
21/01/2011 20.00,,"50,5","36,9",,"31,5",,21
21/01/2011 21.00,,"51,3","35,8",,"23,7",,21
21/01/2011 22.00,,"36,7",28,,25,,21
21/01/2011 23.00,,52,"31,3",,"21,8",,21
22/01/2011 0.00,,"43,2","29,1",,"17,2",,21
22/01/2011 1.00,,"28,9","24,3",,"20,7",,8
22/01/2011 2.00,,,,,"25,6",,8
22/01/2011 3.00,,"27,8","25,5",,"24,8",,8
22/01/2011 4.00,,"19,3","17,3","0,3",,,8
22/01/2011 5.00,,"18,6",16,"0,3","26,3",,8
22/01/2011 6.00,,"18,9",16,"0,4",24,,8
22/01/2011 7.00,,"36,9","26,7","0,4","13,8",,8
22/01/2011 8.00,,"50,4","34,1","0,4","11,7",,8
22/01/2011 9.00,,"76,7",42,"0,7","8,8",,8
22/01/2011 10.00,,"62,2","36,8","0,6",25,,8
22/01/2011 11.00,,22,"17,3","0,2","47,6",,8
22/01/2011 12.00,,"27,4",20,"0,1","45,1",,8
22/01/2011 13.00,,"20,7","16,1","0,1","58,5",,8
22/01/2011 14.00,,"21,6","18,1",0,"58,1",,8
22/01/2011 15.00,,15,13,0,"58,7",,8
22/01/2011 16.00,,"16,4","13,7","0,1","55,7",,8
22/01/2011 17.00,,"34,2","27,5","0,2",37,,8
22/01/2011 18.00,,"62,6","46,1","0,3","18,8",,8
22/01/2011 19.00,,64,"47,3","0,4","18,9",,8
22/01/2011 20.00,,"42,1","32,5","0,3","39,5",,8
22/01/2011 21.00,,"30,4","24,7","0,2","53,7",,8
22/01/2011 22.00,,"44,5","36,6","0,3","37,3",,8
22/01/2011 23.00,,"84,7","52,5","0,5","19,4",,8
23/01/2011 0.00,,"67,2","45,5","0,4","21,9",,8
23/01/2011 1.00,,"43,3","34,6","0,4","26,2",,9
23/01/2011 2.00,,"34,4",24,"0,3","45,4",,9
23/01/2011 3.00,,"13,2","11,1","0,2","49,4",,9
23/01/2011 4.00,,"16,1","13,8","0,3","38,5",,9
23/01/2011 5.00,,"14,5","12,7","0,3","33,7",,9
23/01/2011 6.00,,"12,7","10,4","0,3","31,3",,9
23/01/2011 7.00,,"14,2","12,3","0,4","37,9",,9
23/01/2011 8.00,,"15,1","13,1","0,4","39,5",,9
23/01/2011 9.00,,"19,1","14,8","0,5",36,,9
23/01/2011 10.00,,19,"13,1","0,5","36,9",,9
23/01/2011 11.00,,"21,8","14,3","0,5","37,8",,9
23/01/2011 12.00,,"22,5","15,1","0,3","40,2",,9
23/01/2011 13.00,,"20,7","13,8","0,2","43,4",,9
23/01/2011 14.00,,"19,6","13,8","0,1","46,2",,9
23/01/2011 15.00,,"14,6","10,6","0,1","48,9",,9
23/01/2011 16.00,,"14,2",11,"0,1","48,4",,9
23/01/2011 17.00,,"17,8","14,7","0,2","43,6",,9
23/01/2011 18.00,,"28,7","22,8","0,4","33,9",,9
23/01/2011 19.00,,"36,5","28,1","0,4","31,2",,9
23/01/2011 20.00,,"44,3","33,9","0,5","25,5",,9
23/01/2011 21.00,,"50,1","37,1","0,6",21,,9
23/01/2011 22.00,,"47,3","35,2","0,5","19,8",,9
23/01/2011 23.00,,"40,2",30,"0,6","20,1",,9
24/01/2011 0.00,,"37,4","27,7","0,5","20,1",,9
24/01/2011 1.00,,"21,5","17,2","0,4","31,8",,"15,7"
24/01/2011 2.00,,,,"0,3","38,1",,"15,7"
24/01/2011 3.00,,20,"17,9",,"34,1",,"15,7"
24/01/2011 4.00,,"14,1","12,1","0,4",,,"15,7"
24/01/2011 5.00,,"12,3","10,7","0,4",30,,"15,7"
24/01/2011 6.00,,"16,7","14,3","0,5","26,4",,"15,7"
24/01/2011 7.00,,"43,4","31,3","0,6","12,8",,"15,7"
24/01/2011 8.00,,"140,6","54,6",1,"4,2",,"15,7"
24/01/2011 9.00,,"105,9","52,1","0,9","8,4",,"15,7"
24/01/2011 10.00,,"78,9","44,4","0,9","13,7",,"15,7"
24/01/2011 11.00,,"48,5",30,"0,6","36,2",,"15,7"
24/01/2011 12.00,,"35,6","25,3","0,5","42,4",,"15,7"
24/01/2011 13.00,,"28,6","20,1","0,4","48,2",,"15,7"
24/01/2011 14.00,,"45,7","30,7","0,5","44,4",,"15,7"
24/01/2011 15.00,,"26,6","20,7","0,4","50,2",,"15,7"
24/01/2011 16.00,,"36,2","27,1","0,4","43,7",,"15,7"
24/01/2011 17.00,,"31,2","24,4","0,4","48,6",,"15,7"
24/01/2011 18.00,,28,"22,6","0,5","54,8",,"15,7"
24/01/2011 19.00,,"39,7","32,6","0,5","38,8",,"15,7"
24/01/2011 20.00,,36,"27,9","0,6","44,4",,"15,7"
24/01/2011 21.00,,"44,4",33,"0,6","40,5",,"15,7"
24/01/2011 22.00,,"40,4","31,7","0,6","41,5",,"15,7"
24/01/2011 23.00,,"23,3","18,2","0,5","57,2",,"15,7"
25/01/2011 0.00,,"22,5","18,4","0,5","48,7",,"15,7"
25/01/2011 1.00,,"12,4","10,3","0,5",46,,"34,1"
25/01/2011 2.00,,"5,9","4,8","0,6","59,5",,"34,1"
25/01/2011 3.00,,"4,7",4,"0,6","61,3",,"34,1"
25/01/2011 4.00,,"5,2","4,5","0,6","59,2",,"34,1"
25/01/2011 5.00,,"6,5","5,2","0,7","58,7",,"34,1"
25/01/2011 6.00,,"7,8","6,5","0,7","57,2",,"34,1"
25/01/2011 7.00,,"11,8","9,8","0,7","54,7",,"34,1"
25/01/2011 8.00,,"79,2","36,1","0,9","38,8",,"34,1"
25/01/2011 9.00,,71,"33,4","0,8","42,7",,"34,1"
25/01/2011 10.00,,"20,6",14,"0,7",55,,"34,1"
25/01/2011 11.00,,"23,3","15,7","1,1","56,1",,"34,1"
25/01/2011 12.00,,,,,61,"1,4","34,1"
25/01/2011 13.00,,"25,7","20,4","0,4","67,3","1,5","34,1"
25/01/2011 14.00,"0,3",28,"19,4","0,4",66,"1,3","34,1"
25/01/2011 15.00,"0,7","23,6","17,6","0,4","68,6","0,9","34,1"
25/01/2011 16.00,"0,6","21,3","15,6","0,4","69,8","1,1","34,1"
25/01/2011 17.00,"0,5","34,5","26,6","0,5","57,7","0,9","34,1"
25/01/2011 18.00,"0,5","54,6","41,5","0,6","48,9","1,8","34,1"
25/01/2011 19.00,"0,7","59,4","44,2","0,7",45,"1,4","34,1"
25/01/2011 20.00,1,"90,8","64,7","0,8","29,7","2,9","34,1"
25/01/2011 21.00,"3,6","192,6","92,5","1,2","5,5",4,"34,1"
25/01/2011 22.00,"1,5","115,1","74,3","0,8","8,9","4,7","34,1"
25/01/2011 23.00,"0,7","83,8","58,5","0,8","11,4","1,1","34,1"
26/01/2011 0.00,1,"60,5","45,2","0,8","16,8","2,9","34,1"
26/01/2011 1.00,,"42,7","35,9","0,7","21,5",3,"32,9"
26/01/2011 2.00,"0,5",,,"0,7","20,4","2,5","32,9"
26/01/2011 3.00,"0,4","25,4","23,3",,"26,1","2,3","32,9"
26/01/2011 4.00,"0,9","19,1","17,5","0,4",,2,"32,9"
26/01/2011 5.00,"1,2","23,6","21,8","0,4","26,4","1,9","32,9"
26/01/2011 6.00,"1,5","41,3","35,8","0,4","15,8","2,2","32,9"
26/01/2011 7.00,"1,4","89,2","58,5","0,6","4,6","2,6","32,9"
26/01/2011 8.00,"4,8","206,7","81,7","0,9",,"3,5","32,9"
26/01/2011 9.00,"4,1","186,1","85,2","0,9","5,8","4,1","32,9"
26/01/2011 10.00,"2,4","91,8","52,5","0,5","31,5","3,6","32,9"
26/01/2011 11.00,"1,3","41,6","27,5","0,3","55,7","1,6","32,9"
26/01/2011 12.00,"1,8","31,6",22,"0,4","61,9","1,5","32,9"
26/01/2011 13.00,"1,4","30,2",22,"0,4","67,6","2,1","32,9"
26/01/2011 14.00,1,"24,4","18,2","0,4","70,7","1,6","32,9"
26/01/2011 15.00,"1,1","27,7","21,5","0,3","69,9","1,6","32,9"
26/01/2011 16.00,"0,7",28,"22,7","0,4","68,2","1,2","32,9"
26/01/2011 17.00,"0,6","48,8","39,9","0,4","50,4","1,4","32,9"
26/01/2011 18.00,"0,7","75,1","60,8","0,5","30,1","1,4","32,9"
26/01/2011 19.00,"0,3","47,6","40,3","0,5","41,5","2,3","32,9"
26/01/2011 20.00,"0,6","43,9","37,1","0,6","37,8","2,7","32,9"
26/01/2011 21.00,"0,8","51,9",41,"0,6","34,6","2,8","32,9"
26/01/2011 22.00,"0,6",35,"28,4","0,5","50,3","2,6","32,9"
26/01/2011 23.00,"0,5","20,8","16,9","0,4","62,4","1,8","32,9"
27/01/2011 0.00,"0,4","12,6","10,4","0,3","66,8","1,4","32,9"
27/01/2011 1.00,"0,4","8,2","7,2","0,3","67,3","1,2","13,8"
27/01/2011 2.00,"0,3",7,"6,4","0,3","68,8","0,7","13,8"
27/01/2011 3.00,"0,4","5,2","4,8","0,3","67,1","0,8","13,8"
27/01/2011 4.00,"0,3","5,5","5,1","0,3","61,7","0,8","13,8"
27/01/2011 5.00,"0,4","6,1","5,8","0,3","70,9","0,6","13,8"
27/01/2011 6.00,"0,5","7,1","6,2","0,3",73,"0,7","13,8"
27/01/2011 7.00,"0,5","16,3","14,4","0,3","60,7","0,7","13,8"
27/01/2011 8.00,"0,9","25,4","20,8","0,3","50,3","0,4","13,8"
27/01/2011 9.00,"1,2","43,9","31,7","0,4","43,8","1,1","13,8"
27/01/2011 10.00,"1,9","34,7","24,8","0,4","51,3","0,8","13,8"
27/01/2011 11.00,"1,4","29,7","22,3","0,4","55,7","0,9","13,8"
27/01/2011 12.00,1,"43,3","30,6","0,4","47,7","0,1","13,8"
27/01/2011 13.00,"1,6","37,9","28,5","0,4","49,8","1,1","13,8"
27/01/2011 14.00,"2,5","29,3","22,6","0,4",56,"1,1","13,8"
27/01/2011 15.00,"2,5","22,3","18,1","0,3",62,1,"13,8"
27/01/2011 16.00,"2,7","42,2","35,5","0,4","46,6",1,"13,8"
27/01/2011 17.00,"2,6","21,2","17,1","0,4","60,4",1,"13,8"
27/01/2011 18.00,"2,5","16,4","13,3","0,4","60,7","0,7","13,8"
27/01/2011 19.00,"2,2","16,9","12,7","0,4","62,9","1,3","13,8"
27/01/2011 20.00,"2,5","20,3","13,9","0,4","66,2","1,1","13,8"
27/01/2011 21.00,"2,8","23,4","15,6","0,4","65,8","1,1","13,8"
27/01/2011 22.00,"2,5","16,9","11,9","0,4","67,6","1,2","13,8"
27/01/2011 23.00,"2,1","8,7","7,1","0,4","69,2","1,2","13,8"
28/01/2011 0.00,"2,3","6,6","4,9","0,4",73,1,"13,8"
28/01/2011 1.00,,"6,1","4,5","0,4","72,8","0,9","15,8"
28/01/2011 2.00,"2,4",,,"0,4","75,4","0,8","15,8"
28/01/2011 3.00,"2,5","12,7",12,,"69,8","0,7","15,8"
28/01/2011 4.00,"2,8","29,1","21,5","0,1",,"0,8","15,8"
28/01/2011 5.00,"2,8",27,"19,9","0,2","59,2","0,8","15,8"
28/01/2011 6.00,"2,6","22,5","16,7","0,2","61,8","0,8","15,8"
28/01/2011 7.00,"2,4","29,3",21,"0,2","60,2","0,8","15,8"
28/01/2011 8.00,"2,3","36,8","25,9","0,2","56,6","0,9","15,8"
28/01/2011 9.00,"2,4","42,3","28,5","0,2","54,3","1,1","15,8"
28/01/2011 10.00,"2,5",42,"29,8","0,3",50,"1,2","15,8"
28/01/2011 11.00,"2,1","54,3","35,3","0,3","47,7","2,4","15,8"
28/01/2011 12.00,"2,4",63,"40,7","0,2","43,5","1,5","15,8"
28/01/2011 13.00,"2,6","72,2","46,9","0,2",41,"1,3","15,8"
28/01/2011 14.00,"2,5","44,4","32,6","0,2","51,7","1,3","15,8"
28/01/2011 15.00,"2,6",57,"42,4","0,2","45,4","0,8","15,8"
28/01/2011 16.00,"3,8","159,9","77,4","0,3","22,8","1,8","15,8"
28/01/2011 17.00,"2,5","55,3","38,1","0,2","47,9","1,6","15,8"
28/01/2011 18.00,"2,5","68,6","44,6","0,2","41,5","0,7","15,8"
28/01/2011 19.00,"2,1","73,8",52,"0,2","35,1","1,4","15,8"
28/01/2011 20.00,"2,8","71,4",49,"0,2","36,7","1,4","15,8"
28/01/2011 21.00,"2,2","55,8","38,2","0,3","45,1","1,5","15,8"
28/01/2011 22.00,"2,3","56,7","37,4","0,2",47,"1,4","15,8"
28/01/2011 23.00,"2,4","56,5","37,4","0,2",44,"1,4","15,8"
29/01/2011 0.00,"2,7","68,5","42,7","0,2","42,1","1,4","15,8"
29/01/2011 1.00,"1,2","37,8","26,7","0,1","58,2","1,4","7,6"
29/01/2011 2.00,"1,1","11,9","10,4","0,1","67,9","1,1","7,6"
29/01/2011 3.00,"0,7","8,2","7,2","0,4","72,4",1,"7,6"
29/01/2011 4.00,"0,5","7,3","6,6","0,4","73,5","0,9","7,6"
29/01/2011 5.00,"0,3","8,5",8,"0,1","71,8","0,8","7,6"
29/01/2011 6.00,"0,9",7,"6,4","0,1","72,8",1,"7,6"
29/01/2011 7.00,"0,5","12,2","10,6","0,2","69,8",1,"7,6"
29/01/2011 8.00,"0,6",33,27,"0,2","50,8","1,1","7,6"
29/01/2011 9.00,"0,5","40,7","30,3","0,2","52,9","1,5","7,6"
29/01/2011 10.00,"0,6","40,4","29,9","0,2","53,4","1,2","7,6"
29/01/2011 11.00,"0,4","40,3","29,7","0,1","51,5","1,3","7,6"
29/01/2011 12.00,"0,6","36,6","24,3","0,1","56,9","1,2","7,6"
29/01/2011 13.00,"1,2","29,3","20,6","0,2","57,8","1,4","7,6"
29/01/2011 14.00,"2,2","30,2","19,4","0,2","59,1","1,5","7,6"
29/01/2011 15.00,"2,4","14,9","10,9","0,2","65,5","1,2","7,6"
29/01/2011 16.00,"2,1","17,8",14,"0,1","62,8","1,1","7,6"
29/01/2011 17.00,"1,7",23,"17,6","0,2","55,6","1,2","7,6"
29/01/2011 18.00,"1,8","29,1",22,"0,3","48,8","1,7","7,6"
29/01/2011 19.00,"2,1","38,9","30,9","0,2","44,7","1,5","7,6"
29/01/2011 20.00,"2,1","59,4","38,4","0,3","40,5","1,3","7,6"
29/01/2011 21.00,"2,7",61,"34,8","0,2","46,7",2,"7,6"
29/01/2011 22.00,"2,7","59,7","38,1","0,2","41,8","1,6","7,6"
29/01/2011 23.00,"2,8","65,4","34,2","0,2","47,2","1,7","7,6"
30/01/2011 0.00,"2,6","92,3","46,6","0,2","36,4","1,3","7,6"
30/01/2011 1.00,,"43,2","27,8","0,2",48,"2,3","14,8"
30/01/2011 2.00,2,,,"0,2",51,"1,3","14,8"
30/01/2011 3.00,"1,8","12,5","10,8",,"52,3","0,6","14,8"
30/01/2011 4.00,"1,8","6,9","6,2","0,4",,"1,3","14,8"
30/01/2011 5.00,"1,7","5,2","4,4","0,3",55,"1,1","14,8"
30/01/2011 6.00,"2,3","6,3","5,4","0,3","52,5","1,1","14,8"
30/01/2011 7.00,"2,3","11,7","10,6","0,3","42,6","1,3","14,8"
30/01/2011 8.00,"2,4","19,2","14,9","0,4","39,1","1,1","14,8"
30/01/2011 9.00,"2,4","11,3","9,2","0,5","46,5","1,4","14,8"
30/01/2011 10.00,"2,7","10,2",8,"0,3","51,5","1,2","14,8"
30/01/2011 11.00,"2,6","11,5","7,9","0,3","55,2","1,1","14,8"
30/01/2011 12.00,"2,3","14,5","10,6","0,3","54,9","1,3","14,8"
30/01/2011 13.00,"2,1","19,6","14,2","0,3","55,1","1,4","14,8"
30/01/2011 14.00,"2,1","20,4","15,2","0,4","58,9",2,"14,8"
30/01/2011 15.00,2,"12,5","10,3","0,5","64,6","1,4","14,8"
30/01/2011 16.00,"2,1","14,9",13,"0,4",64,"1,5","14,8"
30/01/2011 17.00,"2,4","24,1","20,8","0,5","53,6","1,6","14,8"
30/01/2011 18.00,"2,1","23,1","17,3","0,5","56,3","1,8","14,8"
30/01/2011 19.00,"2,4",25,"19,1","0,6","51,6","2,3","14,8"
30/01/2011 20.00,"2,3","22,2",17,"0,5","54,5","2,3","14,8"
30/01/2011 21.00,"2,6","28,3","22,9","0,5","46,1","1,8","14,8"
30/01/2011 22.00,"2,4",26,"20,1","0,5","46,1","2,4","14,8"
30/01/2011 23.00,"2,5","24,7","20,7","0,4","42,5",2,"14,8"
31/01/2011 0.00,"2,3","14,5","12,4","0,5","47,6","1,8","14,8"
31/01/2011 1.00,"2,2","25,6","23,2","0,5","29,4","1,8","29,9"
31/01/2011 2.00,"2,3","40,2","30,7","0,5","24,2","1,8","29,9"
31/01/2011 3.00,"2,4","17,4","15,2","0,4","43,7","1,6","29,9"
31/01/2011 4.00,"2,4","12,4","11,1","0,4","37,9","1,1","29,9"
31/01/2011 5.00,"2,2","27,3","22,7","0,4","15,4","1,3","29,9"
31/01/2011 6.00,"2,9","50,5","32,2","0,6","1,3","1,9","29,9"
31/01/2011 7.00,"3,9","110,8","45,9","0,7",,"2,5","29,9"
31/01/2011 8.00,"3,4",89,"48,8","0,8","5,9","2,6","29,9"
31/01/2011 9.00,"3,3","67,9","42,1","0,6","22,4","2,9","29,9"
31/01/2011 10.00,"2,5","50,6","33,5","0,5","34,6","2,2","29,9"
31/01/2011 11.00,"2,4","50,1","33,4","0,6","33,1","2,2","29,9"
31/01/2011 12.00,"2,3","40,7","27,9","0,6","35,1","2,5","29,9"
31/01/2011 13.00,"2,4",41,"28,2","0,6","33,8","2,3","29,9"
31/01/2011 14.00,"2,4","44,7",30,"0,6","39,9","2,2","29,9"
